Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2003-7-8-0-0,2003,189,0,0,5.5,-5.24,1.41,0.83,1.35,0.92,465.3,1.1,127928,0.48,-0.43,-2,-10,19,13,-10
2003-7-8-0-1,2003,189,0,1,5.49,-5.23,1.54,0.54,1.5,0.64,464.4,1.07,139226,0.46,-0.3,-3,-10,19,13,-10
2003-7-8-0-2,2003,189,0,2,5.49,-5.29,1.39,0.36,1.36,0.45,464.3,1.05,148656,0.45,-0.21,-3,-10,19,13,-10
2003-7-8-0-3,2003,189,0,3,5.53,-5.07,2.12,0.02,2.11,0.16,467.6,1.17,141988,0.51,-0.07,-2,-10,18,13,-10
2003-7-8-0-4,2003,189,0,4,5.54,-5.28,1.67,-0.01,1.67,0.1,464.8,1.13,130318,0.49,-0.05,-2,-10,18,13,-10
2003-7-8-0-5,2003,189,0,5,5.53,-5.39,1.17,0.29,1.15,0.37,464.1,1.08,129713,0.47,-0.17,-2,-10,18,12,-10
2003-7-8-0-6,2003,189,0,6,5.56,-5.35,1.5,-0.07,1.5,0.03,461.8,1.01,138780,0.43,-0.01,-2,-10,17,12,-10
2003-7-8-0-7,2003,189,0,7,5.55,-5.23,1.56,0.52,1.52,0.62,479.1,1.04,189643,0.48,-0.3,-2,-10,18,12,-10
2003-7-8-0-8,2003,189,0,8,5.59,-5.17,1.31,1.17,1.23,1.25,477.7,1.03,181385,0.47,-0.6,-2,-10,17,12,-10
2003-7-8-0-9,2003,189,0,9,5.59,-5.07,1.45,1.21,1.37,1.3,479.0,0.96,190954,0.44,-0.62,-2,-10,16,13,-10
2003-7-8-0-10,2003,189,0,10,5.57,-5.01,0.77,2.31,0.62,2.35,482.9,0.87,180973,0.41,-1.13,-2,-10,17,13,-10
2003-7-8-0-11,2003,189,0,11,5.62,-4.96,0.72,2.47,0.56,2.51,481.0,0.94,139004,0.43,-1.21,-2,-10,16,13,-10
2003-7-8-0-12,2003,189,0,12,5.62,-4.94,0.96,2.43,0.8,2.49,495.0,0.89,181200,0.44,-1.23,-2,-10,17,12,-10
2003-7-8-0-13,2003,189,0,13,5.59,-4.75,0.66,2.87,0.48,2.91,488.0,0.95,192866,0.45,-1.42,-2,-10,17,12,-10
2003-7-8-0-16,2003,189,0,16,5.58,-4.65,0.65,3.01,0.46,3.04,505.1,0.71,187763,0.36,-1.54,-3,-10,17,12,-10
2003-7-8-0-17,2003,189,0,17,5.59,-4.84,0.64,2.69,0.47,2.72,505.1,0.7,187763,0.36,-1.37,-3,-10,16,12,-10
2003-7-8-0-18,2003,189,0,18,5.64,-4.9,0.87,2.65,0.71,2.7,498.6,0.76,208583,0.38,-1.35,-3,-10,16,12,-10
2003-7-8-0-19,2003,189,0,19,5.59,-4.84,0.69,2.71,0.52,2.75,498.6,0.76,208583,0.38,-1.37,-3,-10,16,12,-10
2003-7-8-0-20,2003,189,0,20,5.58,-4.75,0.74,2.84,0.57,2.88,497.3,0.82,203869,0.41,-1.43,-3,-10,16,11,-10
2003-7-8-0-21,2003,189,0,21,5.61,-4.88,0.87,2.62,0.71,2.67,497.2,0.82,203869,0.41,-1.33,-3,-9,15,12,-9
2003-7-8-0-22,2003,189,0,22,5.61,-4.93,0.85,2.55,0.7,2.6,495.2,0.76,191669,0.37,-1.29,-3,-9,15,12,-9
2003-7-8-0-23,2003,189,0,23,5.68,-5.04,0.82,2.48,0.67,2.52,495.2,0.76,191669,0.37,-1.25,-3,-9,15,12,-9
2003-7-8-0-25,2003,189,0,25,5.67,-5.07,0.97,2.34,0.83,2.39,493.2,0.8,200155,0.39,-1.18,-3,-9,15,12,-9
2003-7-8-0-26,2003,189,0,26,5.67,-5.05,1.11,2.32,0.97,2.38,493.2,0.8,200155,0.39,-1.17,-3,-9,14,12,-9
2003-7-8-0-28,2003,189,0,28,5.68,-5.14,0.98,2.18,0.85,2.23,494.1,0.82,195685,0.4,-1.1,-3,-9,15,11,-9
2003-7-8-0-29,2003,189,0,29,5.59,-5.13,0.67,2.12,0.55,2.15,494.1,0.82,195685,0.4,-1.06,-3,-9,14,10,-9
2003-7-8-0-34,2003,189,0,34,5.93,-5.2,0.98,1.97,0.87,2.02,492.6,0.75,195614,0.36,-1.0,-3,-10,14,11,-10
2003-7-8-0-35,2003,189,0,35,5.73,-5.45,0.64,1.55,0.55,1.58,492.6,0.75,195614,0.36,-0.78,-3,-10,14,11,-10
2003-7-8-0-38,2003,189,0,38,5.72,-5.44,1.05,1.4,0.97,1.45,468.8,0.86,166358,0.38,-0.68,-3,-10,14,12,-10
2003-7-8-0-39,2003,189,0,39,5.71,-5.53,0.97,0.99,0.92,1.04,468.8,0.86,166358,0.38,-0.49,-3,-11,13,12,-11
2003-7-8-0-41,2003,189,0,41,5.71,-5.39,0.33,1.78,0.24,1.79,490.6,0.82,228826,0.39,-0.88,-3,-11,12,12,-11
2003-7-8-0-42,2003,189,0,42,5.7,-5.45,0.51,1.56,0.43,1.58,471.7,0.89,168794,0.4,-0.75,-3,-11,13,12,-11
