Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2015-3-11-0-0,2015,70,0,0,6.05,-4.41,3.17,1.97,1.61,3.37,362.2,4.62,44704,1.21,-1.26,4,4,18,14,4
2015-3-11-0-5,2015,70,0,5,6.05,-2.83,4.33,2.68,2.21,4.58,372.6,3.95,42376,1.09,-1.64,4,3,16,14,3
2015-3-11-0-10,2015,70,0,10,6.16,-3.92,4.06,2.35,2.17,4.16,369.2,4.46,33818,1.21,-1.62,4,3,14,13,3
2015-3-11-0-15,2015,70,0,15,6.07,-4.33,3.65,1.39,2.34,3.13,365.6,4.0,53919,1.07,-0.71,4,4,12,12,4
2015-3-11-0-20,2015,70,0,20,6.23,-3.93,2.57,4.02,0.03,4.78,364.7,4.83,36591,1.28,-1.74,4,4,12,12,4
2015-3-11-0-25,2015,70,0,25,6.3,-3.64,3.99,3.01,1.77,4.68,368.8,4.51,36504,1.23,-1.73,5,3,12,13,3
2015-3-11-0-30,2015,70,0,30,6.27,-4.22,3.77,2.23,2.01,3.89,368.2,4.04,39499,1.1,-1.43,5,3,12,12,3
2015-3-11-0-35,2015,70,0,35,6.32,-3.58,4.51,2.53,2.49,4.53,368.4,4.28,35898,1.16,-1.67,5,2,13,11,2
2015-3-11-0-40,2015,70,0,40,6.13,-3.6,4.83,0.82,3.67,3.25,369.6,4.4,37472,1.2,-1.2,5,2,14,11,2
2015-3-11-3-0,2015,70,3,0,4.87,-3.48,1.17,0.05,1.02,0.59,375.8,5.1,91439,1.44,-0.22,3,5,13,5,5
2015-3-11-3-5,2015,70,3,5,5.02,-2.94,1.02,-1.21,1.46,-0.59,390.8,4.74,90359,1.44,0.23,3,5,15,6,5
2015-3-11-3-10,2015,70,3,10,4.77,-4.58,0.32,-0.5,0.52,-0.3,372.0,5.23,110299,1.45,0.15,3,5,17,6,5
2015-3-11-3-15,2015,70,3,15,5.0,-4.49,0.89,1.71,-0.0,1.93,364.8,4.71,124847,1.26,-0.72,3,4,18,7,4
2015-3-11-3-20,2015,70,3,20,5.0,-4.47,1.4,0.95,0.81,1.48,365.4,5.0,133537,1.33,-0.57,3,3,17,7,3
2015-3-11-3-25,2015,70,3,25,4.84,-4.52,0.93,0.52,0.59,0.88,364.3,4.89,107741,1.3,-0.36,3,4,17,6,4
2015-3-11-3-30,2015,70,3,30,4.38,-3.45,1.05,0.82,0.57,1.2,376.3,4.9,103034,1.39,-0.6,3,4,16,6,4
2015-3-11-3-35,2015,70,3,35,4.61,-3.18,0.88,0.4,0.61,0.75,372.2,5.14,105546,1.43,-0.27,3,4,16,6,4
2015-3-11-3-40,2015,70,3,40,4.34,-3.26,-0.89,-1.67,-0.05,-1.89,374.2,5.35,113485,1.5,0.71,3,3,21,8,3
2015-3-11-3-45,2015,70,3,45,4.65,-3.43,-1.26,-1.99,-0.24,-2.34,377.1,5.28,117749,1.5,0.82,3,3,17,7,3
2015-3-11-3-50,2015,70,3,50,4.19,-2.91,-0.91,-2.82,0.42,-2.93,376.4,5.51,110208,1.56,1.1,3,4,18,7,4
2015-3-11-3-55,2015,70,3,55,4.38,-2.92,-0.81,-3.05,0.6,-3.1,378.0,5.49,114746,1.57,1.13,3,3,17,8,3
2015-3-11-4-0,2015,70,4,0,4.11,-2.53,-0.93,-3.04,0.47,-3.14,380.3,5.62,117152,1.63,1.2,3,3,18,9,3
2015-3-11-4-5,2015,70,4,5,4.52,-2.84,-0.82,-3.36,0.7,-3.39,381.6,5.44,108585,1.58,1.29,3,3,21,8,3
2015-3-11-4-10,2015,70,4,10,4.11,-2.78,-0.91,-2.85,0.39,-2.97,379.2,5.6,115190,1.61,1.12,3,3,22,8,3
2015-3-11-4-15,2015,70,4,15,4.03,-2.79,-1.24,-2.61,-0.02,-2.89,377.6,5.52,111345,1.57,1.23,4,3,21,9,3
2015-3-11-4-20,2015,70,4,20,3.48,-2.56,-0.85,-2.18,0.14,-2.34,376.9,5.42,110309,1.54,0.89,4,3,22,10,3
2015-3-11-4-25,2015,70,4,25,3.63,-2.75,-1.0,-2.14,-0.02,-2.36,377.1,5.55,115536,1.58,0.65,3,3,21,9,3
2015-3-11-4-30,2015,70,4,30,4.0,-3.0,-1.04,-2.42,0.05,-2.63,378.6,5.65,119570,1.62,0.92,3,3,22,10,3
2015-3-11-4-35,2015,70,4,35,3.78,-2.63,-1.01,-2.51,0.1,-2.7,380.1,5.76,123604,1.66,1.1,3,3,21,9,3
2015-3-11-4-40,2015,70,4,40,3.32,-2.24,-1.01,-2.21,-0.03,-2.43,379.2,5.72,129134,1.64,0.88,3,3,21,9,3
2015-3-11-4-45,2015,70,4,45,3.78,-2.38,-1.36,-2.59,-0.2,-2.93,377.1,5.48,123058,1.56,1.21,3,3,20,9,3
2015-3-11-4-50,2015,70,4,50,4.44,-2.72,-1.47,-3.14,-0.1,-3.47,377.1,5.48,123058,1.56,1.18,4,3,19,10,3
2015-3-11-4-55,2015,70,4,55,4.96,-3.22,-1.39,-3.49,0.1,-3.75,377.0,4.9,108252,1.39,1.36,5,2,20,11,2
2015-3-11-5-0,2015,70,5,0,5.13,-3.24,-1.45,-3.65,0.1,-3.93,378.0,5.51,109793,1.57,1.46,6,2,21,9,2
2015-3-11-5-5,2015,70,5,5,5.32,-3.01,-1.11,-4.24,0.63,-4.34,377.0,5.42,101205,1.54,1.65,7,4,25,7,4
2015-3-11-5-10,2015,70,5,10,5.29,-3.54,-1.34,-3.67,0.18,-3.9,377.0,5.42,101205,1.54,1.5,8,7,25,6,7
2015-3-11-5-15,2015,70,5,15,5.27,-3.52,-1.82,-3.43,-0.38,-3.87,378.4,5.76,100711,1.65,1.47,8,18,34,6,18
2015-3-11-5-20,2015,70,5,20,5.35,-3.4,-1.92,-3.63,-0.41,-4.08,376.9,5.64,97285,1.6,1.53,8,17,36,6,17
