Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2013-5-28-0-31,2013,148,0,31,6.09,5.44,-1.18,-0.04,-1.1,-0.42,723.9,1.58,525411,1.66,0.3,-2,-27,37,37,-27
2013-5-28-0-32,2013,148,0,32,6.15,5.01,-1.81,0.11,-1.75,-0.48,715.5,1.51,504498,1.55,0.34,-2,-27,36,35,-27
2013-5-28-0-33,2013,148,0,33,5.92,3.3,-4.0,-0.4,-3.66,-1.67,709.0,1.44,488147,1.45,1.18,-2,-27,37,35,-27
2013-5-28-0-36,2013,148,0,36,6.19,4.53,1.92,3.72,0.62,4.14,721.4,1.32,528806,1.37,-2.99,-2,-27,38,35,-27
2013-5-28-0-37,2013,148,0,37,6.28,4.56,1.67,3.97,0.31,4.3,721.4,1.32,528806,1.37,-3.1,-2,-27,37,35,-27
2013-5-28-0-39,2013,148,0,39,6.2,5.12,-0.25,3.41,-1.33,3.15,705.4,1.37,487387,1.36,-2.22,-2,-27,35,35,-27
2013-5-28-0-40,2013,148,0,40,6.16,4.56,-0.28,3.47,-1.38,3.2,705.4,1.37,487387,1.36,-2.26,-2,-27,36,35,-27
2013-5-28-0-41,2013,148,0,41,6.03,2.78,1.81,4.77,0.19,5.1,767.7,1.46,572777,1.72,-3.92,-2,-28,36,36,-28
2013-5-28-0-42,2013,148,0,42,5.95,1.89,2.1,4.73,0.48,5.15,767.7,1.46,572777,1.72,-3.95,-2,-28,36,36,-28
2013-5-28-0-43,2013,148,0,43,5.96,0.91,2.28,4.39,0.76,4.89,788.2,1.54,663140,1.91,-3.85,-2,-27,36,36,-27
2013-5-28-0-44,2013,148,0,44,6.03,3.14,0.62,4.25,-0.76,4.23,766.3,1.42,588224,1.67,-3.24,-2,-26,35,37,-26
2013-5-28-0-45,2013,148,0,45,6.09,3.68,0.93,4.33,-0.49,4.4,719.1,1.24,454484,1.28,-3.16,-2,-26,37,38,-26
2013-5-28-0-46,2013,148,0,46,6.01,3.57,1.71,3.75,0.43,4.1,703.8,1.26,494961,1.25,-2.89,-2,-27,34,37,-27
2013-5-28-0-47,2013,148,0,47,5.94,3.35,-0.27,3.7,-1.43,3.42,742.2,1.43,551137,1.58,-2.54,-2,-29,34,37,-29
2013-5-28-0-48,2013,148,0,48,6.05,3.39,-0.58,3.7,-1.72,3.33,732.0,1.08,579787,1.16,-2.44,-2,-30,33,37,-30
2013-5-28-0-49,2013,148,0,49,6.0,2.96,-0.13,3.78,-1.32,3.54,745.6,1.29,670631,1.43,-2.64,-2,-29,34,37,-29
2013-5-28-0-50,2013,148,0,50,6.1,2.0,0.43,4.51,-1.02,4.41,757.3,1.41,620182,1.62,-3.34,-2,-29,34,36,-29
2013-5-28-0-51,2013,148,0,51,5.94,2.35,-1.13,3.97,-2.32,3.41,763.1,1.36,574908,1.58,-2.6,-2,-29,34,36,-29
2013-5-28-0-52,2013,148,0,52,5.9,2.01,-4.07,3.65,-5.01,2.18,734.1,0.94,641302,1.01,-1.6,-2,-29,33,36,-29
2013-5-28-0-53,2013,148,0,53,5.87,2.27,-3.7,3.56,-4.63,2.21,743.3,0.93,579726,1.03,-1.64,-2,-30,34,35,-30
2013-5-28-0-54,2013,148,0,54,6.2,3.57,-1.75,4.56,-3.09,3.78,740.1,1.0,569760,1.1,-2.8,-2,-29,34,35,-29
2013-5-28-0-55,2013,148,0,55,6.1,3.22,0.53,4.56,-0.93,4.5,729.4,1.18,552284,1.26,-3.28,-1,-29,33,35,-29
2013-5-28-0-58,2013,148,0,58,6.13,3.93,-0.94,3.96,-2.13,3.47,721.5,1.45,510830,1.51,-2.5,-1,-29,34,33,-29
2013-5-28-0-59,2013,148,0,59,6.07,3.73,-0.95,4.08,-2.18,3.58,713.0,1.24,535107,1.26,-2.55,-1,-29,34,33,-29
2013-5-28-1-0,2013,148,1,0,6.07,3.92,-1.13,3.71,-2.23,3.17,721.3,1.13,556187,1.18,-2.29,-1,-30,34,34,-30
2013-5-28-1-1,2013,148,1,1,6.04,3.82,-3.1,3.39,-4.0,2.26,710.6,1.2,492270,1.21,-1.61,-1,-30,34,33,-30
