Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1999-1-9-0-0,1999,9,0,0,7.3,2.08,0.63,-6.87,2.81,-6.3,473.0,3.76,80277,1.69,3.0,-1,-11,14,16,-11
1999-1-9-0-5,1999,9,0,5,7.43,1.97,1.23,-7.01,3.42,-6.25,477.9,3.84,85962,1.75,2.98,-1,-10,11,19,-10
1999-1-9-0-10,1999,9,0,10,7.26,1.86,-0.07,-6.85,2.13,-6.51,478.5,3.84,86713,1.76,3.11,-1,-10,12,18,-10
1999-1-9-0-15,1999,9,0,15,7.32,2.16,0.26,-6.8,2.42,-6.36,482.0,3.89,90213,1.8,3.06,-1,-10,11,14,-10
1999-1-9-0-20,1999,9,0,20,7.16,1.3,-0.18,-6.9,2.02,-6.6,486.2,3.76,90143,1.78,3.21,-1,-10,9,14,-10
1999-1-9-0-35,1999,9,0,35,7.26,1.42,1.12,-6.98,3.25,-6.27,487.5,4.02,91079,1.91,3.08,-1,-11,10,12,-11
1999-1-9-0-45,1999,9,0,45,6.9,0.93,-0.62,-6.79,1.52,-6.64,482.2,3.03,85078,1.41,3.16,-1,-13,7,12,-13
1999-1-9-0-50,1999,9,0,50,6.85,1.21,-1.69,-6.36,0.36,-6.57,485.5,3.15,86681,1.48,3.2,-1,-14,7,13,-14
1999-1-9-0-55,1999,9,0,55,6.65,-0.91,-1.07,-6.14,0.87,-6.18,509.7,2.19,81929,1.12,3.13,-1,-15,8,13,-15
1999-1-9-1-0,1999,9,1,0,6.53,-0.44,-0.3,-6.27,1.62,-6.07,520.6,3.43,116055,1.86,3.14,0,-16,7,14,-16
1999-1-9-1-5,1999,9,1,5,6.22,-0.61,-1.15,-5.82,0.67,-5.9,510.2,3.23,96082,1.68,3.03,0,-17,9,15,-17
1999-1-9-1-10,1999,9,1,10,6.29,-0.75,-1.77,-5.83,0.07,-6.1,506.8,3.22,92812,1.65,3.14,0,-18,9,17,-18
1999-1-9-1-15,1999,9,1,15,6.33,-0.85,-1.85,-5.7,-0.07,-5.99,501.1,3.56,99235,1.79,2.78,0,-20,10,21,-20
