Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1998-11-2-0-0,1998,306,0,0,4.86,-0.14,-4.03,-2.67,-4.38,-2.06,392.5,5.78,58441,1.78,0.81,0,10,10,5,10
1998-11-2-0-5,1998,306,0,5,4.64,-0.68,-3.91,-2.35,-4.21,-1.76,392.1,6.41,54959,1.97,0.69,0,11,13,5,11
1998-11-2-0-10,1998,306,0,10,4.94,-0.48,-4.02,-2.81,-4.39,-2.18,394.0,5.52,62637,1.72,0.86,0,11,14,5,11
1998-11-2-0-15,1998,306,0,15,4.98,-0.66,-4.08,-2.76,-4.45,-2.11,393.8,5.54,59012,1.72,0.83,0,10,13,6,10
1998-11-2-0-20,1998,306,0,20,4.96,-1.07,-3.94,-2.82,-4.32,-2.19,393.2,5.46,58137,1.69,0.86,0,10,12,6,10
1998-11-2-0-25,1998,306,0,25,4.99,-0.98,-3.94,-2.9,-4.34,-2.26,393.2,5.5,61505,1.7,0.89,1,10,10,7,10
1998-11-2-0-30,1998,306,0,30,5.12,-1.66,-3.71,-3.09,-4.15,-2.48,394.2,5.38,56417,1.67,0.98,2,10,10,6,10
1998-11-2-0-35,1998,306,0,35,4.77,-1.42,-3.15,-3.28,-3.62,-2.74,391.2,6.02,54865,1.85,1.07,0,9,13,8,9
1998-11-2-0-40,1998,306,0,40,4.23,-1.31,-2.99,-2.58,-3.36,-2.07,388.3,6.0,58372,1.81,0.8,1,10,13,10,10
1998-11-2-0-45,1998,306,0,45,4.84,-1.13,-3.17,-3.38,-3.67,-2.82,392.7,5.59,55426,1.73,1.11,1,9,11,13,9
1998-11-2-0-50,1998,306,0,50,4.89,-1.41,-3.18,-3.43,-3.7,-2.86,387.4,5.42,48288,1.63,1.11,1,8,11,14,8
1998-11-2-0-55,1998,306,0,55,4.89,-1.92,-3.04,-3.3,-3.55,-2.75,386.4,5.25,52584,1.57,1.06,0,8,12,12,8
1998-11-2-1-0,1998,306,1,0,4.85,-1.89,-2.83,-3.35,-3.35,-2.83,387.7,5.34,53773,1.6,1.1,0,7,12,11,7
1998-11-2-1-5,1998,306,1,5,4.41,-1.94,-2.99,-2.56,-3.38,-2.01,389.1,5.72,54001,1.74,0.78,0,8,12,10,8
1998-11-2-1-10,1998,306,1,10,4.24,-2.78,-2.9,-0.52,-2.94,-0.01,390.0,5.84,56778,1.78,0.0,0,8,12,11,8
1998-11-2-1-15,1998,306,1,15,4.17,-3.45,-2.09,0.02,-2.06,0.39,390.8,5.62,57701,1.72,-0.15,0,8,12,10,8
1998-11-2-1-20,1998,306,1,20,4.17,-3.51,-2.07,-0.73,-2.17,-0.34,393.1,5.4,58426,1.67,0.13,1,7,12,12,7
1998-11-2-1-25,1998,306,1,25,3.55,-2.45,-2.17,-1.05,-2.33,-0.64,388.6,5.89,62317,1.78,0.25,1,6,12,12,6
1998-11-2-1-30,1998,306,1,30,2.96,-1.73,-1.96,-0.99,-2.11,-0.62,385.9,6.98,55833,2.08,0.24,0,6,10,11,6
1998-11-2-1-35,1998,306,1,35,3.42,-1.68,-2.78,0.33,-2.67,0.84,388.3,7.1,57003,2.14,-0.33,0,8,9,10,8
1998-11-2-1-40,1998,306,1,40,4.2,-2.4,-3.21,1.01,-2.96,1.6,389.5,6.25,52297,1.9,-0.62,0,9,8,10,9
1998-11-2-1-45,1998,306,1,45,3.83,-2.44,-2.83,0.65,-2.66,1.18,388.1,7.05,52318,2.13,-0.46,0,8,8,11,8
