Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2001-3-26-0-0,2001,85,0,0,1.95,1.4,1.17,-0.68,1.35,0.07,392.3,4.07,68366,1.25,-0.03,0,-11,10,12,-11
2001-3-26-0-5,2001,85,0,5,1.74,1.27,0.77,-0.84,1.1,-0.28,390.6,4.01,73678,1.22,0.11,-1,-11,8,12,-11
2001-3-26-0-10,2001,85,0,10,2.39,1.2,1.39,-1.25,1.85,-0.29,390.3,4.13,63842,1.26,0.11,-1,-11,9,11,-11
2001-3-26-0-15,2001,85,0,15,3.21,1.7,0.28,-2.02,1.34,-1.54,391.8,3.9,63840,1.2,0.6,-1,-11,9,10,-11
2001-3-26-0-20,2001,85,0,20,3.87,-2.45,2.14,1.1,1.19,2.09,383.8,3.83,76856,1.13,-0.8,-1,-12,10,9,-12
2001-3-26-0-25,2001,85,0,25,3.9,-2.87,2.11,1.47,0.97,2.38,380.3,3.63,74559,1.05,-0.91,-1,-13,11,8,-13
2001-3-26-0-30,2001,85,0,30,4.18,-3.34,0.84,2.34,-0.56,2.42,384.8,3.46,66411,1.02,-0.93,-1,-13,11,8,-13
2001-3-26-0-35,2001,85,0,35,4.42,-3.65,1.18,2.17,-0.18,2.47,390.2,3.55,77528,1.08,-0.96,-1,-13,12,8,-13
2001-3-26-0-40,2001,85,0,40,4.32,-3.99,0.68,1.44,-0.2,1.58,387.2,3.52,76231,1.05,-0.62,-2,-13,13,8,-13
2001-3-26-0-45,2001,85,0,45,4.31,-4.22,0.3,0.66,-0.1,0.72,384.2,3.47,70532,1.03,-0.28,-2,-13,15,8,-13
2001-3-26-0-50,2001,85,0,50,4.35,-4.29,0.69,0.06,0.55,0.42,382.0,3.43,75325,1.0,-0.16,-2,-14,15,8,-14
2001-3-26-0-55,2001,85,0,55,4.38,-4.05,1.61,-0.19,1.46,0.7,381.9,3.45,69790,1.01,-0.27,-2,-14,16,8,-14
2001-3-26-1-0,2001,85,1,0,4.21,-3.58,1.96,-0.47,1.91,0.64,384.5,3.56,73159,1.05,-0.25,-2,-13,18,8,-13
2001-3-26-1-5,2001,85,1,5,4.71,-3.69,2.47,1.16,1.48,2.3,379.1,3.43,68415,0.99,-0.87,-2,-13,19,8,-13
2001-3-26-1-10,2001,85,1,10,4.85,-3.86,2.43,1.6,1.22,2.64,383.8,3.26,68253,0.96,-1.01,-3,-13,21,7,-13
2001-3-26-1-15,2001,85,1,15,4.83,-3.79,2.5,1.56,1.3,2.64,383.8,3.29,69035,0.97,-1.02,-3,-13,23,6,-13
2001-3-26-1-20,2001,85,1,20,4.84,-3.94,2.28,1.62,1.09,2.57,385.1,3.2,77943,0.95,-1.0,-3,-13,24,5,-13
2001-3-26-1-25,2001,85,1,25,4.92,-4.09,2.18,1.63,1.01,2.53,381.6,3.12,68525,0.91,-0.97,-3,-13,27,6,-13
2001-3-26-1-30,2001,85,1,30,4.9,-4.17,1.88,1.73,0.71,2.46,381.2,3.29,72545,0.96,-0.94,-3,-13,28,6,-13
2001-3-26-1-35,2001,85,1,35,4.91,-4.14,1.35,2.26,-0.02,2.63,381.8,3.26,64986,0.95,-1.0,-3,-13,30,5,-13
2001-3-26-1-40,2001,85,1,40,4.49,-2.38,3.2,1.21,2.11,2.69,388.1,3.74,59216,1.13,-1.04,-4,-12,31,7,-12
2001-3-26-1-45,2001,85,1,45,4.1,-1.21,3.87,0.4,3.12,2.33,387.4,4.41,45523,1.32,-0.9,-4,-10,32,8,-10
2001-3-26-1-50,2001,85,1,50,4.28,-1.19,4.09,0.25,3.39,2.3,383.6,4.03,40412,1.19,-0.88,-3,-10,33,8,-10
2001-3-26-1-55,2001,85,1,55,4.35,-1.39,4.09,0.37,3.34,2.39,381.6,3.93,39887,1.15,-0.91,-3,-10,34,7,-10
