Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2000-5-19-0-0,2000,140,0,0,8.28,-2.02,7.78,-1.84,7.88,1.36,473.2,3.07,134367,1.37,-0.64,1,-17,20,17,-17
2000-5-19-0-1,2000,140,0,1,8.47,-2.24,7.94,-1.87,8.04,1.39,472.9,3.06,134199,1.37,-0.66,1,-17,21,17,-17
2000-5-19-0-2,2000,140,0,2,8.69,-1.58,8.13,-2.61,8.5,0.78,480.1,2.82,119805,1.3,-0.37,1,-17,22,18,-17
2000-5-19-0-3,2000,140,0,3,8.7,-1.56,8.08,-2.81,8.54,0.57,479.7,2.81,118821,1.29,-0.27,1,-18,20,18,-18
2000-5-19-0-4,2000,140,0,4,8.67,-1.7,7.92,-3.06,8.49,0.28,475.2,2.73,107741,1.23,-0.13,1,-17,20,18,-17
2000-5-19-0-5,2000,140,0,5,8.46,-1.94,7.25,-3.84,8.17,-0.7,474.6,3.0,128726,1.35,0.33,1,-18,20,18,-18
2000-5-19-0-6,2000,140,0,6,8.4,-1.56,7.4,-3.59,8.21,-0.42,473.9,3.29,151250,1.48,0.2,1,-18,20,19,-18
2000-5-19-0-7,2000,140,0,7,8.65,-1.74,7.91,-3.0,8.45,0.32,476.7,2.99,124109,1.36,-0.15,1,-18,21,19,-18
2000-5-19-0-8,2000,140,0,8,8.42,-1.02,6.57,-4.85,7.94,-1.91,476.8,2.98,123058,1.35,0.91,1,-18,21,19,-18
2000-5-19-0-11,2000,140,0,11,8.7,-1.13,7.55,-4.03,8.52,-0.78,488.2,2.64,110309,1.26,0.38,1,-18,21,19,-18
2000-5-19-0-12,2000,140,0,12,8.7,-1.03,7.61,-4.04,8.58,-0.77,488.2,2.64,110309,1.26,0.38,1,-17,21,19,-17
