Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1998-11-2-0-0,1998,306,0,0,4.77,-0.13,-3.93,-2.69,-4.28,-2.09,391.1,5.83,60413,1.78,0.82,0,10,11,6,10
1998-11-2-0-1,1998,306,0,1,5.01,0.23,-4.02,-2.98,-4.41,-2.37,392.1,5.44,61564,1.67,0.93,0,10,10,6,10
1998-11-2-0-2,1998,306,0,2,5.07,-0.26,-4.17,-2.85,-4.54,-2.21,393.2,5.18,61129,1.6,0.87,0,10,10,5,10
1998-11-2-0-3,1998,306,0,3,4.73,-0.26,-3.98,-2.52,-4.3,-1.91,393.2,6.04,53392,1.87,0.75,0,10,10,5,10
1998-11-2-0-4,1998,306,0,4,4.71,-0.26,-4.07,-2.33,-4.37,-1.71,392.7,6.4,55705,1.97,0.67,0,10,11,5,10
1998-11-2-0-5,1998,306,0,5,4.84,-0.19,-4.13,-2.52,-4.45,-1.89,392.2,6.32,54904,1.94,0.74,0,10,12,6,10
1998-11-2-0-6,1998,306,0,6,4.62,-0.72,-3.91,-2.3,-4.2,-1.7,391.2,6.22,55023,1.9,0.67,0,11,13,6,11
1998-11-2-0-7,1998,306,0,7,4.41,-1.21,-3.68,-2.11,-3.95,-1.55,392.3,6.65,54866,2.05,0.61,0,11,13,5,11
1998-11-2-0-8,1998,306,0,8,4.47,-0.88,-3.68,-2.36,-3.99,-1.79,392.0,6.78,52415,2.08,0.7,0,11,13,5,11
1998-11-2-0-9,1998,306,0,9,4.84,-0.4,-4.13,-2.48,-4.45,-1.85,392.9,6.1,57585,1.88,0.73,0,11,14,5,11
1998-11-2-0-10,1998,306,0,10,4.92,-0.4,-4.17,-2.56,-4.5,-1.92,394.1,5.78,61473,1.8,0.76,0,11,14,5,11
1998-11-2-0-11,1998,306,0,11,4.96,-0.31,-4.03,-2.86,-4.41,-2.23,394.6,5.75,62738,1.79,0.88,0,12,15,5,12
1998-11-2-0-12,1998,306,0,12,5.01,-0.53,-4.06,-2.88,-4.44,-2.25,394.9,5.25,62622,1.64,0.89,0,11,14,6,11
1998-11-2-0-13,1998,306,0,13,4.91,-0.56,-3.92,-2.91,-4.31,-2.3,393.9,5.28,62729,1.64,0.91,0,11,13,6,11
1998-11-2-0-14,1998,306,0,14,4.89,-0.58,-3.93,-2.83,-4.31,-2.21,392.5,5.56,63621,1.71,0.87,0,11,14,5,11
1998-11-2-0-15,1998,306,0,15,4.89,-0.46,-4.08,-2.64,-4.43,-2.0,392.9,5.68,62902,1.75,0.79,0,11,14,6,11
1998-11-2-0-16,1998,306,0,16,4.89,-0.44,-4.08,-2.64,-4.43,-2.0,393.8,5.85,61888,1.81,0.79,0,11,14,6,11
1998-11-2-0-17,1998,306,0,17,4.8,-0.75,-3.88,-2.73,-4.24,-2.12,393.7,5.77,56691,1.79,0.83,0,10,13,7,10
1998-11-2-0-18,1998,306,0,18,5.05,-0.86,-4.11,-2.79,-4.48,-2.14,393.8,5.55,55304,1.72,0.84,-1,10,13,6,10
1998-11-2-0-19,1998,306,0,19,5.25,-0.81,-4.25,-2.98,-4.65,-2.31,394.6,4.85,58277,1.51,0.91,-1,10,12,6,10
1998-11-2-0-20,1998,306,0,20,4.8,-1.16,-3.75,-2.75,-4.12,-2.15,394.4,5.26,58799,1.64,0.85,-1,10,12,7,10
1998-11-2-0-21,1998,306,0,21,4.95,-1.03,-3.94,-2.8,-4.32,-2.17,393.1,5.9,56431,1.82,0.85,-1,11,13,6,11
1998-11-2-0-22,1998,306,0,22,5.02,-1.01,-4.05,-2.79,-4.43,-2.14,393.0,5.35,59057,1.65,0.84,0,11,13,6,11
1998-11-2-0-23,1998,306,0,23,5.06,-1.07,-4.03,-2.86,-4.42,-2.22,393.1,5.39,57796,1.67,0.87,0,10,14,5,10
1998-11-2-0-24,1998,306,0,24,4.99,-1.07,-3.92,-2.9,-4.32,-2.27,392.2,5.38,58601,1.66,0.89,1,10,10,6,10
1998-11-2-0-25,1998,306,0,25,4.97,-0.98,-3.96,-2.85,-4.35,-2.21,392.2,5.48,60066,1.69,0.87,1,10,10,7,10
1998-11-2-0-26,1998,306,0,26,4.9,-0.92,-3.91,-2.8,-4.29,-2.17,393.0,5.55,58954,1.71,0.85,1,10,10,7,10
1998-11-2-0-27,1998,306,0,27,4.94,-0.86,-3.95,-2.84,-4.34,-2.2,393.4,5.53,66383,1.71,0.87,1,10,10,7,10
