Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1999-4-13-0-0,1999,103,0,0,5.17,-4.33,2.27,1.64,1.06,2.59,429.4,2.73,186024,1.01,-1.11,0,-8,5,13,-8
1999-4-13-0-2,1999,103,0,2,5.14,-4.54,2.07,1.19,1.13,2.1,428.9,2.81,190012,1.03,-0.9,0,-8,5,12,-8
1999-4-13-0-3,1999,103,0,3,5.1,-4.47,1.56,1.85,0.35,2.39,427.8,2.88,181772,1.05,-1.02,0,-8,5,13,-8
1999-4-13-0-4,1999,103,0,4,5.21,-4.55,0.89,2.3,-0.45,2.42,426.1,3.05,169067,1.11,-1.03,0,-8,5,14,-8
1999-4-13-0-5,1999,103,0,5,5.23,-4.54,0.67,2.5,-0.74,2.48,427.0,3.04,176358,1.11,-1.06,0,-8,3,14,-8
1999-4-13-0-6,1999,103,0,6,5.22,-4.46,0.72,2.59,-0.75,2.58,426.9,2.91,159100,1.06,-1.1,0,-8,5,14,-8
1999-4-13-0-7,1999,103,0,7,5.3,-4.54,0.7,2.64,-0.79,2.61,427.5,2.81,166474,1.03,-1.12,0,-8,4,14,-8
1999-4-13-0-8,1999,103,0,8,5.31,-4.61,0.62,2.53,-0.8,2.48,427.6,2.94,169241,1.08,-1.06,0,-8,4,14,-8
1999-4-13-0-9,1999,103,0,9,5.24,-4.65,0.41,2.35,-0.88,2.22,426.9,3.1,153545,1.13,-0.95,0,-8,4,15,-8
1999-4-13-0-10,1999,103,0,10,5.28,-4.67,0.34,2.44,-0.99,2.26,424.5,3.07,144763,1.11,-0.96,0,-8,4,15,-8
1999-4-13-0-11,1999,103,0,11,5.28,-4.62,0.45,2.5,-0.93,2.36,424.5,3.07,144763,1.11,-1.0,-1,-8,4,15,-8
1999-4-13-0-12,1999,103,0,12,5.18,-4.82,0.0,1.82,-0.95,1.55,429.2,3.15,162992,1.16,-0.67,0,-8,4,15,-8
1999-4-13-0-13,1999,103,0,13,5.13,-4.88,-0.03,1.56,-0.84,1.31,426.4,3.11,168976,1.13,-0.56,0,-8,4,16,-8
1999-4-13-0-16,1999,103,0,16,5.16,-4.98,0.05,1.34,-0.66,1.17,423.3,3.02,159343,1.08,-0.5,-1,-8,4,16,-8
1999-4-13-0-17,1999,103,0,17,5.16,-5.01,0.04,1.21,-0.6,1.05,424.1,3.04,162128,1.09,-0.45,0,-9,4,17,-9
1999-4-13-0-18,1999,103,0,18,5.15,-4.9,-0.2,1.52,-0.96,1.19,425.5,3.14,154138,1.14,-0.51,0,-9,4,17,-9
1999-4-13-0-19,1999,103,0,19,5.16,-4.74,-0.29,1.91,-1.24,1.48,422.4,3.12,151375,1.11,-0.63,-1,-9,4,17,-9
