Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2012-9-10-0-5,2012,254,0,5,4.53,-1.79,1.93,1.86,2.32,1.35,367.3,3.87,50985,1.04,-0.56,-3,-15,35,5,-15
2012-9-10-0-10,2012,254,0,10,4.78,-1.06,3.22,2.12,3.63,1.29,362.0,4.44,53903,1.16,-0.47,-3,-16,37,3,-16
2012-9-10-0-15,2012,254,0,15,4.68,-1.06,1.79,3.26,2.52,2.74,367.3,4.25,51665,1.15,-1.01,-3,-16,41,2,-16
2012-9-10-0-20,2012,254,0,20,4.74,-2.11,0.95,3.21,1.7,2.88,357.4,3.85,47508,0.99,-1.03,-3,-17,43,3,-17
2012-9-10-0-25,2012,254,0,25,4.47,-1.25,1.77,2.55,2.34,2.04,365.4,4.11,58529,1.1,-0.75,-3,-17,43,4,-17
2012-9-10-0-30,2012,254,0,30,4.45,-1.23,2.07,2.45,2.6,1.87,369.5,3.61,53848,0.99,-0.69,-4,-16,44,5,-16
2012-9-10-0-35,2012,254,0,35,4.49,-1.31,1.94,2.35,2.45,1.79,366.2,3.53,50892,0.95,-0.61,-4,-17,45,6,-17
2012-9-10-0-40,2012,254,0,40,4.46,-1.49,1.74,2.67,2.35,2.16,366.1,3.5,56743,0.94,-0.79,-4,-17,45,6,-17
2012-9-10-0-45,2012,254,0,45,4.49,-1.22,1.98,2.72,2.6,2.14,365.1,3.58,50732,0.96,-0.8,-4,-17,46,7,-17
2012-9-10-0-50,2012,254,0,50,4.46,-1.35,2.24,2.45,2.79,1.8,359.6,3.68,50867,0.95,-0.64,-4,-17,46,6,-17
2012-9-10-0-55,2012,254,0,55,4.31,-1.87,2.13,2.1,2.59,1.49,351.8,3.35,56147,0.83,-0.53,-4,-17,45,6,-17
2012-9-10-1-0,2012,254,1,0,4.37,-1.07,2.2,2.82,2.85,2.16,360.6,3.92,62304,1.02,-0.78,-4,-17,45,7,-17
2012-9-10-1-5,2012,254,1,5,4.45,-1.66,2.24,3.05,2.95,2.38,354.9,3.77,52512,0.95,-0.82,-4,-18,45,7,-18
2012-9-10-1-10,2012,254,1,10,4.53,-1.89,2.23,3.18,2.99,2.49,349.4,3.46,47523,0.84,-0.92,-4,-18,42,6,-18
2012-9-10-1-15,2012,254,1,15,4.59,-1.49,2.1,3.59,2.97,2.91,354.6,3.47,47992,0.88,-1.01,-3,-18,40,6,-18
2012-9-10-1-20,2012,254,1,20,4.54,-0.31,1.13,4.38,2.24,3.93,347.0,3.57,47432,0.86,-1.36,-3,-18,38,6,-18
2012-9-10-1-50,2012,254,1,50,4.65,-2.88,0.59,3.12,1.44,2.84,339.0,2.94,30086,0.68,-0.92,-2,-16,31,9,-16
2012-9-10-1-55,2012,254,1,55,4.68,-3.22,-0.15,2.95,0.69,2.87,338.0,3.25,35431,0.74,-0.9,-2,-16,31,10,-16
