Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2000-5-19-0-0,2000,140,0,0,8.56,-1.82,7.97,-2.44,8.29,0.88,476.2,2.9,122987,1.31,-0.41,1,-17,21,18,-17
2000-5-19-0-5,2000,140,0,5,8.48,-1.44,7.22,-3.99,8.2,-0.86,475.5,3.07,131786,1.39,0.32,1,-18,21,19,-18
2000-5-19-0-10,2000,140,0,10,8.66,-1.61,7.54,-3.72,8.4,-0.5,486.1,2.7,111151,1.27,0.28,1,-17,21,20,-17
2000-5-19-0-15,2000,140,0,15,8.69,-1.92,7.95,-2.87,8.44,0.43,481.1,2.61,106254,1.21,-0.22,1,-18,21,20,-18
2000-5-19-0-20,2000,140,0,20,8.7,-1.35,7.8,-3.54,8.56,-0.27,480.4,2.6,104283,1.2,0.12,1,-17,21,23,-17
2000-5-19-0-25,2000,140,0,25,8.71,-1.25,7.92,-3.36,8.6,-0.07,482.6,2.61,105781,1.22,0.03,1,-17,20,23,-17
2000-5-19-0-30,2000,140,0,30,8.73,-1.69,7.91,-3.2,8.54,0.05,482.9,2.58,101878,1.2,-0.03,1,-17,20,24,-17
2000-5-19-0-35,2000,140,0,35,8.75,-1.35,7.74,-3.75,8.58,-0.54,489.1,2.64,104143,1.26,0.26,1,-17,21,25,-17
2000-5-19-0-40,2000,140,0,40,8.72,-2.25,7.57,-3.54,8.34,-0.42,486.1,2.59,97188,1.22,0.21,1,-17,21,25,-17
2000-5-19-0-45,2000,140,0,45,8.72,-1.78,8.18,-2.34,8.46,0.9,485.0,2.78,109656,1.31,-0.44,1,-18,20,25,-18
2000-5-19-0-50,2000,140,0,50,8.56,-2.48,7.61,-2.51,8.0,0.51,482.0,2.57,105745,1.2,-0.25,1,-18,21,24,-18
2000-5-19-0-55,2000,140,0,55,8.48,-2.07,7.16,-3.93,8.11,-0.99,488.2,2.73,113535,1.31,0.48,1,-17,21,23,-17
2000-5-19-1-0,2000,140,1,0,8.52,-1.64,7.78,-2.98,8.33,0.09,486.8,2.71,113811,1.29,-0.09,0,-17,23,23,-17
2000-5-19-1-5,2000,140,1,5,8.5,-0.96,7.98,-2.69,8.41,0.42,491.6,2.64,114157,1.28,-0.2,0,-18,24,23,-18
2000-5-19-1-10,2000,140,1,10,8.42,-0.69,8.01,-1.82,8.13,1.21,494.9,2.79,142311,1.37,-0.07,0,-17,25,24,-17
2000-5-19-1-15,2000,140,1,15,8.25,-0.42,8.02,-1.67,8.08,1.34,493.5,2.46,117661,1.2,-0.8,0,-16,25,23,-16
2000-5-19-1-20,2000,140,1,20,8.12,-1.29,7.96,-0.76,7.7,2.14,493.5,2.74,129820,1.34,-1.06,0,-16,25,22,-16
2000-5-19-1-25,2000,140,1,25,8.29,-2.85,7.46,-1.64,7.56,1.12,482.4,2.73,126029,1.28,-0.55,0,-14,24,23,-14
2000-5-19-1-30,2000,140,1,30,8.26,-3.33,7.39,-0.64,7.14,2.01,475.9,2.52,104815,1.14,-0.96,0,-15,25,22,-15
2000-5-19-1-35,2000,140,1,35,8.34,-2.37,6.98,-3.62,7.81,-0.94,482.7,2.66,125387,1.24,0.46,0,-16,24,21,-16
2000-5-19-1-40,2000,140,1,40,8.38,-1.54,7.86,-2.35,8.19,0.53,491.4,2.74,134196,1.32,-0.28,0,-16,22,20,-16
2000-5-19-1-55,2000,140,1,55,8.48,-1.42,7.9,-2.57,8.31,0.26,490.3,2.71,130254,1.3,-0.29,1,-16,19,23,-16
2000-5-19-2-0,2000,140,2,0,8.51,-2.54,7.13,-3.59,7.92,-0.98,486.4,2.67,115892,1.26,0.48,1,-15,19,23,-15
2000-5-19-2-5,2000,140,2,5,8.44,-2.71,6.98,-3.81,7.85,-1.26,483.4,2.38,93562,1.11,0.61,2,-15,20,24,-15
2000-5-19-2-10,2000,140,2,10,8.45,-2.58,6.88,-4.06,7.84,-1.56,483.5,2.42,101263,1.13,0.75,1,-16,19,23,-16
2000-5-19-2-15,2000,140,2,15,8.45,-3.37,6.36,-3.85,7.27,-1.56,479.1,2.19,97512,1.01,0.74,2,-16,19,24,-16
2000-5-19-2-20,2000,140,2,20,8.43,-4.06,5.43,-4.79,6.69,-2.77,468.3,2.17,94131,0.95,1.3,2,-16,18,24,-16
2000-5-19-2-25,2000,140,2,25,8.21,-7.15,3.35,-0.1,3.21,0.98,432.3,1.84,98956,0.69,-0.42,2,-15,18,25,-15
2000-5-19-2-30,2000,140,2,30,8.36,-6.13,4.48,-2.35,4.99,-0.81,434.3,1.9,79984,0.72,0.36,1,-16,18,25,-16
2000-5-19-2-35,2000,140,2,35,8.61,-4.81,5.03,-4.94,6.32,-3.11,458.2,2.32,99687,0.97,1.42,1,-17,18,25,-17
2000-5-19-2-40,2000,140,2,40,8.62,-5.1,5.5,-4.21,6.53,-2.29,458.1,2.55,105181,1.07,1.04,1,-16,17,25,-16
2000-5-19-2-45,2000,140,2,45,8.63,-4.85,5.84,-4.03,6.8,-2.04,462.7,2.5,97300,1.07,0.96,2,-15,17,25,-15
2000-5-19-2-50,2000,140,2,50,8.61,-4.37,6.32,-3.85,7.19,-1.75,466.8,2.59,107234,1.13,0.82,1,-16,16,26,-16
2000-5-19-2-55,2000,140,2,55,8.59,-3.65,6.43,-4.26,7.41,-2.13,477.9,2.51,107706,1.15,0.95,2,-15,17,25,-15
2000-5-19-3-0,2000,140,3,0,8.47,-4.04,6.86,-2.43,7.27,-0.28,465.5,2.42,103390,1.05,0.01,2,-15,18,26,-15
2000-5-19-3-5,2000,140,3,5,8.3,-1.46,7.5,0.31,7.08,2.5,480.5,2.7,131944,1.25,-0.14,2,-15,19,26,-15
2000-5-19-3-10,2000,140,3,10,8.5,-3.28,7.56,-1.68,7.73,0.58,482.1,2.77,119007,1.29,-0.28,2,-15,20,25,-15
2000-5-19-3-15,2000,140,3,15,8.21,-4.17,6.73,-1.28,6.82,0.7,465.2,3.06,137741,1.32,-0.32,2,-16,23,24,-16
2000-5-19-3-20,2000,140,3,20,7.66,-4.29,3.11,4.84,1.61,5.52,461.1,3.63,167110,1.55,-2.5,2,-16,24,22,-16
2000-5-19-3-25,2000,140,3,25,8.13,-4.14,5.54,2.92,4.5,4.35,467.9,2.78,128090,1.21,-1.83,2,-16,24,21,-16
2000-5-19-3-30,2000,140,3,30,8.01,-3.52,6.53,2.38,5.62,4.09,471.8,2.79,134764,1.24,-1.9,2,-17,25,19,-17
2000-5-19-3-35,2000,140,3,35,7.84,-4.22,5.98,1.46,5.36,3.02,463.8,2.71,132245,1.17,-1.48,2,-17,25,18,-17
2000-5-19-3-40,2000,140,3,40,8.04,-4.23,5.93,2.14,5.13,3.65,467.8,2.79,127902,1.22,-1.7,2,-17,25,18,-17
2000-5-19-3-45,2000,140,3,45,8.29,-2.42,7.53,-2.09,7.82,-0.02,483.5,2.69,131016,1.26,0.01,2,-17,24,18,-17
2000-5-19-3-50,2000,140,3,50,8.26,-1.58,6.66,-4.2,7.52,-2.32,484.0,2.64,139019,1.24,0.86,2,-17,23,18,-17
2000-5-19-3-55,2000,140,3,55,8.06,-0.9,6.57,-4.07,7.4,-2.24,485.2,3.02,173166,1.42,1.05,2,-16,23,18,-16
2000-5-19-4-0,2000,140,4,0,8.13,-1.11,7.79,-1.44,7.9,0.58,489.6,2.19,98746,1.05,-0.16,2,-16,23,19,-16
2000-5-19-4-5,2000,140,4,5,8.09,-1.92,7.46,-2.25,7.79,-0.32,482.9,2.56,122546,1.19,0.16,2,-16,21,18,-16
2000-5-19-4-10,2000,140,4,10,8.06,-1.77,7.49,-2.13,7.79,-0.23,483.9,2.81,148849,1.32,0.11,1,-15,19,18,-15
2000-5-19-4-15,2000,140,4,15,8.13,-1.32,7.31,-3.08,7.84,-1.23,488.1,2.48,107943,1.18,0.41,1,-14,18,19,-14
2000-5-19-4-20,2000,140,4,20,7.93,-0.91,7.11,-2.7,7.55,-0.94,489.3,2.23,103194,1.07,-0.39,1,-15,18,19,-15
2000-5-19-4-25,2000,140,4,25,7.82,-1.89,1.51,3.24,0.72,3.51,485.6,3.01,151381,1.42,-1.71,1,-14,18,21,-14
2000-5-19-4-30,2000,140,4,30,8.04,-1.83,-3.5,6.93,-5.0,5.94,482.0,3.1,113754,1.44,-2.84,2,-13,19,22,-13
2000-5-19-4-35,2000,140,4,35,7.66,-2.5,-4.69,5.44,-5.79,4.24,480.1,3.64,150446,1.68,-2.04,2,-12,19,21,-12
2000-5-19-4-40,2000,140,4,40,7.73,-2.88,-4.01,5.87,-5.21,4.83,477.8,3.76,145975,1.71,-2.31,3,-12,19,19,-12
2000-5-19-4-45,2000,140,4,45,8.04,-2.64,-3.6,6.55,-4.94,5.62,484.4,3.29,120917,1.54,-2.72,3,-11,19,20,-11
2000-5-19-4-50,2000,140,4,50,8.23,-2.26,-4.99,6.05,-6.17,4.84,489.6,3.32,133400,1.6,-2.37,4,-11,19,21,-11
2000-5-19-4-55,2000,140,4,55,8.33,-2.42,-5.58,5.59,-6.63,4.3,488.9,3.6,124353,1.72,-2.1,3,-10,19,20,-10
2000-5-19-5-0,2000,140,5,0,8.43,-2.86,-5.43,5.68,-6.48,4.44,489.0,3.23,118523,1.55,-2.17,3,-10,17,20,-10
