Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2013-6-26-0-0,2013,177,0,0,2.69,1.99,-1.6,-0.39,-1.54,-0.61,485.6,1.07,63377,0.5,0.29,-2,-12,21,23,-12
2013-6-26-0-5,2013,177,0,5,2.67,2.26,-0.96,-0.57,-0.87,-0.7,483.5,0.97,59786,0.46,0.34,-2,-13,21,22,-13
2013-6-26-0-10,2013,177,0,10,2.66,2.13,-1.25,-0.25,-1.21,-0.42,483.6,0.97,52051,0.45,0.17,-2,-13,22,23,-13
2013-6-26-0-15,2013,177,0,15,2.69,2.22,-1.28,-0.09,-1.26,-0.27,486.1,0.98,55523,0.46,0.28,-1,-13,25,24,-13
2013-6-26-0-20,2013,177,0,20,2.7,2.18,-1.53,0.4,-1.58,0.2,471.5,0.66,42166,0.29,-0.15,-1,-13,26,24,-13
2013-6-26-0-25,2013,177,0,25,2.7,2.29,-1.28,0.51,-1.34,0.34,471.5,0.66,42166,0.29,-0.14,-1,-13,26,25,-13
2013-6-26-0-30,2013,177,0,30,2.72,2.09,-1.61,0.56,-1.67,0.35,476.6,0.85,43926,0.39,-0.18,-1,-13,26,24,-13
2013-6-26-0-35,2013,177,0,35,2.71,2.0,-1.41,0.97,-1.52,0.79,479.9,0.95,50423,0.44,-0.38,-1,-13,25,23,-13
2013-6-26-0-40,2013,177,0,40,2.71,2.02,-1.28,1.11,-1.41,0.94,478.7,1.03,57985,0.47,-0.45,0,-14,24,22,-14
2013-6-26-0-45,2013,177,0,45,2.71,1.78,-1.58,1.13,-1.71,0.93,485.6,1.01,56735,0.48,-0.45,0,-14,23,21,-14
2013-6-26-0-50,2013,177,0,50,2.7,1.92,-1.63,0.79,-1.71,0.58,477.8,0.98,51547,0.45,-0.28,0,-14,23,21,-14
2013-6-26-0-55,2013,177,0,55,2.71,2.01,-1.61,0.67,-1.68,0.47,481.4,1.0,54709,0.46,-0.23,0,-15,23,19,-15
2013-6-26-1-0,2013,177,1,0,2.69,2.05,-1.38,0.92,-1.48,0.75,478.6,0.96,55276,0.44,-0.36,0,-15,23,19,-15
2013-6-26-1-5,2013,177,1,5,2.7,2.07,-1.54,0.67,-1.61,0.49,478.7,1.01,67364,0.47,-0.21,0,-15,23,19,-15
2013-6-26-1-10,2013,177,1,10,2.71,1.98,-1.74,0.35,-1.76,0.15,478.1,0.94,53468,0.43,-0.07,0,-15,23,19,-15
2013-6-26-1-15,2013,177,1,15,2.69,1.81,-1.81,0.81,-1.89,0.61,482.7,1.0,54685,0.47,-0.29,0,-15,24,19,-15
2013-6-26-1-20,2013,177,1,20,2.69,1.94,-1.71,0.72,-1.77,0.53,480.3,1.01,58613,0.47,-0.25,0,-14,24,19,-14
2013-6-26-1-25,2013,177,1,25,2.7,2.06,-1.61,0.64,-1.67,0.47,478.1,1.03,56650,0.47,-0.23,0,-14,24,19,-14
2013-6-26-1-30,2013,177,1,30,2.7,2.1,-1.59,0.6,-1.64,0.44,480.3,0.96,53366,0.44,-0.23,0,-13,24,18,-13
2013-6-26-1-35,2013,177,1,35,2.71,2.07,-1.63,0.57,-1.68,0.4,476.0,0.93,46757,0.42,-0.2,0,-13,23,17,-13
2013-6-26-1-40,2013,177,1,40,2.71,2.11,-1.6,0.55,-1.64,0.4,472.4,0.9,38725,0.4,-0.18,0,-13,23,17,-13
2013-6-26-1-45,2013,177,1,45,2.69,1.98,-1.67,0.57,-1.71,0.41,480.1,1.07,64659,0.49,-0.2,0,-13,22,16,-13
2013-6-26-1-50,2013,177,1,50,2.67,1.39,-2.12,0.27,-2.13,0.08,488.1,1.15,69394,0.55,-0.04,0,-13,21,15,-13
2013-6-26-1-55,2013,177,1,55,2.75,2.1,-1.18,1.18,-1.27,1.07,476.3,1.03,52456,0.47,-0.51,-1,-13,21,14,-13
2013-6-26-2-0,2013,177,2,0,2.75,2.25,-0.93,1.18,-1.03,1.09,471.2,0.96,46274,0.43,-0.52,-1,-13,20,13,-13
2013-6-26-2-5,2013,177,2,5,2.74,2.2,-0.95,1.2,-1.05,1.12,472.3,0.97,52950,0.44,-0.53,-1,-13,19,13,-13
2013-6-26-2-10,2013,177,2,10,2.78,2.43,-1.05,0.82,-1.11,0.73,467.8,0.97,51882,0.42,-0.34,-1,-13,18,13,-13
2013-6-26-2-15,2013,177,2,15,2.77,2.43,-1.05,0.79,-1.11,0.7,468.6,1.0,55687,0.44,-0.31,-1,-13,18,13,-13
2013-6-26-2-20,2013,177,2,20,2.78,2.43,-1.07,0.8,-1.13,0.73,469.7,0.97,59234,0.43,-0.34,-1,-13,18,12,-13
2013-6-26-2-25,2013,177,2,25,2.78,2.38,-1.16,0.81,-1.22,0.73,467.7,0.96,44256,0.42,-0.35,-1,-12,17,11,-12
2013-6-26-2-30,2013,177,2,30,2.78,2.37,-1.17,0.83,-1.22,0.75,467.4,0.82,39498,0.36,-0.33,-1,-12,17,10,-12
2013-6-26-2-35,2013,177,2,35,2.71,2.1,-1.61,0.39,-1.63,0.28,470.4,1.07,58126,0.48,-0.13,-1,-11,16,10,-11
2013-6-26-2-40,2013,177,2,40,2.72,2.19,-1.38,0.67,-1.42,0.58,473.2,1.12,73655,0.5,-0.27,-1,-11,16,11,-11
2013-6-26-2-45,2013,177,2,45,2.68,1.73,-1.49,0.24,-1.51,0.15,470.0,1.01,54097,0.45,-0.07,-1,-11,15,11,-11
2013-6-26-2-50,2013,177,2,50,2.56,1.96,-1.39,0.4,-1.41,0.33,479.9,1.25,76744,0.58,-0.16,-1,-10,15,12,-10
2013-6-26-2-55,2013,177,2,55,2.59,2.19,-1.2,0.58,-1.23,0.52,476.2,1.19,82828,0.54,-0.25,-2,-11,14,12,-11
2013-6-26-3-5,2013,177,3,5,3.1,3.0,-0.56,0.53,-0.58,0.5,470.7,1.52,80034,0.67,-0.2,-2,-11,13,13,-11
2013-6-26-3-10,2013,177,3,10,3.29,3.21,-0.04,0.66,-0.07,0.66,470.4,1.54,77247,0.68,-0.31,-2,-11,13,14,-11
2013-6-26-3-15,2013,177,3,15,3.3,3.21,-0.11,0.74,-0.14,0.74,471.4,1.49,85809,0.66,-0.35,-2,-12,13,13,-12
2013-6-26-3-20,2013,177,3,20,3.42,3.34,0.0,0.7,-0.02,0.7,469.3,1.51,78009,0.67,-0.33,-3,-12,12,13,-12
2013-6-26-3-25,2013,177,3,25,3.39,3.31,0.21,0.7,0.19,0.7,468.5,1.57,75155,0.69,-0.33,-3,-13,10,12,-13
2013-6-26-3-30,2013,177,3,30,3.37,3.27,0.2,0.78,0.18,0.78,469.5,1.54,78482,0.68,-0.37,-3,-13,9,13,-13
2013-6-26-3-35,2013,177,3,35,3.35,3.22,0.31,0.85,0.29,0.86,471.4,1.55,92208,0.69,-0.4,-2,-13,9,13,-13
2013-6-26-3-40,2013,177,3,40,3.32,3.18,0.3,0.9,0.28,0.9,470.8,1.54,92568,0.68,-0.43,-2,-12,9,13,-12
2013-6-26-3-45,2013,177,3,45,3.12,2.88,0.72,0.94,0.71,0.95,464.0,1.7,100231,0.73,-0.44,-2,-12,8,14,-12
2013-6-26-3-50,2013,177,3,50,3.01,2.77,0.69,0.94,0.68,0.95,461.2,1.72,95839,0.73,-0.44,-2,-12,8,14,-12
2013-6-26-3-55,2013,177,3,55,3.05,2.82,0.69,0.9,0.68,0.91,461.7,1.7,101251,0.73,-0.42,-2,-11,8,14,-11
2013-6-26-4-0,2013,177,4,0,3.03,2.82,0.72,0.84,0.72,0.84,460.2,1.73,95860,0.73,-0.39,-2,-11,9,14,-11
2013-6-26-4-5,2013,177,4,5,3.02,2.76,0.89,0.79,0.89,0.79,460.6,1.67,100017,0.71,-0.35,-2,-11,8,14,-11
2013-6-26-4-10,2013,177,4,10,3.04,2.81,0.66,0.86,0.66,0.86,460.4,1.68,99948,0.71,-0.4,-2,-11,9,14,-11
2013-6-26-4-15,2013,177,4,15,3.13,2.96,-0.17,0.96,-0.16,0.96,463.5,1.55,97693,0.67,-0.44,-2,-11,8,15,-11
2013-6-26-4-20,2013,177,4,20,3.19,2.93,-0.37,1.16,-0.35,1.17,465.7,1.53,91203,0.67,-0.54,-2,-11,7,15,-11
2013-6-26-4-25,2013,177,4,25,3.2,3.07,-0.14,0.83,-0.13,0.83,465.2,1.65,100625,0.71,-0.41,-2,-12,8,16,-12
2013-6-26-4-30,2013,177,4,30,3.23,3.14,0.18,0.7,0.19,0.7,462.8,1.58,110394,0.68,-0.32,-2,-12,8,16,-12
2013-6-26-4-35,2013,177,4,35,3.18,3.1,0.12,0.69,0.14,0.69,460.6,1.65,112351,0.7,-0.32,-2,-12,8,15,-12
2013-6-26-4-40,2013,177,4,40,2.97,2.78,0.52,0.71,0.54,0.7,457.5,1.71,104097,0.72,-0.32,-2,-11,6,14,-11
2013-6-26-4-45,2013,177,4,45,2.84,2.7,0.17,0.86,0.2,0.86,458.9,1.86,98539,0.78,-0.42,-2,-11,7,13,-11
2013-6-26-4-50,2013,177,4,50,2.85,2.68,0.46,0.83,0.49,0.81,459.5,1.72,98981,0.73,-0.38,-2,-10,7,15,-10
2013-6-26-4-55,2013,177,4,55,3.0,2.81,-0.16,0.93,-0.12,0.94,465.1,1.58,91239,0.69,-0.46,-2,-10,7,14,-10
2013-6-26-5-0,2013,177,5,0,3.19,3.0,-0.59,0.92,-0.55,0.94,465.0,1.52,97007,0.65,-0.44,-2,-10,8,14,-10
2013-6-26-5-5,2013,177,5,5,3.22,3.04,-0.66,0.83,-0.62,0.86,467.0,1.49,90669,0.65,-0.41,-2,-10,8,14,-10
2013-6-26-5-10,2013,177,5,10,3.18,3.0,-0.7,0.81,-0.66,0.84,465.8,1.4,96207,0.61,-0.4,-2,-10,8,14,-10
2013-6-26-5-25,2013,177,5,25,3.15,2.92,-0.69,0.94,-0.63,0.98,466.7,1.49,90562,0.65,-0.46,-2,-9,9,14,-9
2013-6-26-5-30,2013,177,5,30,3.04,2.81,-0.19,1.11,-0.11,1.12,465.2,1.56,98915,0.67,-0.52,-2,-9,10,14,-9
2013-6-26-5-35,2013,177,5,35,2.94,2.72,0.08,1.09,0.16,1.08,461.8,1.66,105387,0.71,-0.52,-2,-8,9,13,-8
2013-6-26-5-40,2013,177,5,40,3.19,2.89,-0.06,1.29,0.04,1.29,461.4,1.76,92722,0.75,-0.58,-2,-8,10,13,-8
2013-6-26-5-45,2013,177,5,45,3.37,3.1,-0.17,1.29,-0.07,1.3,465.6,1.56,71407,0.68,-0.6,-2,-8,11,12,-8
2013-6-26-5-50,2013,177,5,50,3.37,3.13,-0.2,1.23,-0.1,1.24,464.8,1.57,70753,0.68,-0.58,-2,-8,12,13,-8
2013-6-26-5-55,2013,177,5,55,3.37,3.14,-0.25,1.19,-0.15,1.21,464.4,1.55,71582,0.67,-0.56,-2,-7,13,13,-7
2013-6-26-6-0,2013,177,6,0,3.33,3.18,-0.33,0.9,-0.25,0.92,464.2,1.61,73301,0.69,-0.43,-2,-7,13,13,-7
2013-6-26-6-5,2013,177,6,5,3.37,3.1,-0.5,1.19,-0.39,1.24,464.0,1.59,67295,0.69,-0.58,-2,-6,15,13,-6
2013-6-26-6-10,2013,177,6,10,3.35,3.06,-0.62,1.18,-0.51,1.24,465.0,1.63,70771,0.7,-0.57,-2,-7,16,14,-7
2013-6-26-6-15,2013,177,6,15,3.32,3.06,-0.75,1.01,-0.64,1.08,464.3,1.64,65479,0.71,-0.5,-2,-7,17,14,-7
2013-6-26-6-20,2013,177,6,20,3.34,3.06,-0.93,0.95,-0.82,1.04,463.7,1.68,62380,0.72,-0.48,-2,-6,17,14,-6
2013-6-26-6-25,2013,177,6,25,3.34,3.05,-0.93,0.98,-0.82,1.08,464.0,1.61,63520,0.69,-0.5,-2,-6,18,14,-6
2013-6-26-6-30,2013,177,6,30,3.2,2.86,-1.1,0.85,-1.0,0.97,464.1,1.62,65260,0.7,-0.52,-2,-5,18,14,-5
2013-6-26-6-35,2013,177,6,35,3.14,2.76,-1.33,0.61,-1.25,0.75,464.4,1.71,71869,0.74,-0.35,-2,-5,19,14,-5
2013-6-26-6-40,2013,177,6,40,3.06,2.57,-1.48,0.72,-1.38,0.88,464.3,1.7,61617,0.73,-0.4,-3,-5,19,14,-5
2013-6-26-6-45,2013,177,6,45,3.01,2.45,-1.57,0.73,-1.47,0.91,462.6,1.74,58616,0.74,-0.43,-2,-5,19,15,-5
2013-6-26-6-50,2013,177,6,50,2.87,2.38,-1.49,0.57,-1.41,0.75,459.8,1.93,59397,0.82,-0.34,-3,-4,20,16,-4
