Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2018-8-22-0-0,2018,234,0,0,0.83,-0.38,0.09,0.06,0.11,0.04,541.8,4.85,161567,2.85,-0.11,0,-6,17,10,-6
2018-8-22-0-5,2018,234,0,5,1.44,-0.48,0.84,-0.53,0.71,-0.68,542.6,4.84,156070,2.85,0.19,-1,-7,19,13,-7
2018-8-22-0-10,2018,234,0,10,2.15,-1.4,1.23,-1.01,1.0,-1.23,536.4,4.8,124535,2.77,0.7,0,-5,17,10,-5
2018-8-22-0-15,2018,234,0,15,2.46,-1.51,1.18,-1.49,0.87,-1.7,530.9,4.93,118540,2.78,0.9,-1,-5,18,9,-5
2018-8-22-0-20,2018,234,0,20,2.55,-0.84,1.46,-1.84,1.06,-2.1,529.9,4.89,111883,2.75,1.11,-1,-6,19,8,-6
2018-8-22-0-25,2018,234,0,25,2.86,-0.74,0.88,-2.35,0.39,-2.47,528.1,4.81,125959,2.68,1.31,-1,-6,20,9,-6
2018-8-22-0-30,2018,234,0,30,1.82,-0.66,-0.55,-1.54,-0.85,-1.39,526.1,4.52,145460,2.5,0.93,-1,-5,20,9,-5
2018-8-22-0-35,2018,234,0,35,2.65,2.13,-0.87,-0.62,-0.98,-0.43,519.6,4.84,139400,2.61,0.22,-1,-6,20,11,-6
2018-8-22-0-40,2018,234,0,40,2.57,2.14,-1.1,-0.32,-1.14,-0.09,520.1,4.92,127075,2.66,0.05,-1,-5,18,11,-5
2018-8-22-0-45,2018,234,0,45,2.35,1.2,-1.37,-0.91,-1.53,-0.6,523.4,4.76,128148,2.61,0.32,0,-6,19,11,-6
2018-8-22-0-50,2018,234,0,50,2.38,0.92,-1.4,-0.51,-1.47,-0.21,522.0,4.76,114203,2.59,0.11,0,-6,19,10,-6
2018-8-22-0-55,2018,234,0,55,2.57,1.66,-0.95,-0.49,-1.03,-0.27,519.9,4.66,130445,2.52,0.14,0,-7,19,12,-7
2018-8-22-1-0,2018,234,1,0,2.73,2.11,-0.91,-0.29,-0.95,-0.09,520.5,4.69,133921,2.54,0.05,-1,-7,18,12,-7
2018-8-22-1-5,2018,234,1,5,2.48,0.53,-2.19,0.1,-2.12,0.57,519.0,4.91,123023,2.65,-0.27,-1,-7,18,13,-7
2018-8-22-1-10,2018,234,1,10,2.44,0.4,-2.36,0.23,-2.25,0.74,519.7,4.94,118556,2.67,-0.39,-2,-6,18,12,-6
2018-8-22-1-15,2018,234,1,15,2.58,0.79,-2.42,0.25,-2.31,0.78,517.9,4.92,105686,2.64,-0.43,-2,-7,20,12,-7
2018-8-22-1-20,2018,234,1,20,2.74,0.77,-2.6,0.31,-2.46,0.88,517.4,4.97,103018,2.67,-0.45,-3,-7,21,14,-7
2018-8-22-1-25,2018,234,1,25,2.69,1.47,-2.16,0.37,-2.02,0.84,516.3,4.82,107752,2.57,-0.44,-3,-8,21,14,-8
2018-8-22-1-30,2018,234,1,30,2.81,1.95,-2.01,0.2,-1.91,0.65,514.9,4.85,114458,2.57,-0.34,-2,-7,21,13,-7
2018-8-22-1-35,2018,234,1,35,2.85,1.92,-2.08,-0.15,-2.05,0.33,515.3,4.98,116715,2.65,-0.16,-3,-7,22,13,-7
2018-8-22-1-40,2018,234,1,40,2.84,1.84,-2.06,-0.21,-2.05,0.27,515.6,4.85,119844,2.58,-0.15,-3,-7,22,13,-7
2018-8-22-1-45,2018,234,1,45,2.97,1.37,-2.61,0.18,-2.5,0.78,515.4,4.87,115495,2.59,-0.41,-3,-6,22,14,-6
2018-8-22-1-50,2018,234,1,50,3.41,0.49,-3.14,-0.72,-3.22,0.04,515.8,5.0,113033,2.66,-0.02,-3,-6,23,12,-6
2018-8-22-1-55,2018,234,1,55,3.93,0.06,-3.64,-0.92,-3.76,-0.02,517.1,5.03,115236,2.69,0.12,-4,-6,23,12,-6
2018-8-22-2-0,2018,234,2,0,3.85,0.42,-0.82,-3.12,-1.54,-2.84,517.3,5.09,109286,2.73,1.47,-4,-6,25,12,-6
2018-8-22-2-5,2018,234,2,5,3.64,0.31,-0.8,-2.97,-1.5,-2.69,516.7,5.06,108522,2.7,1.39,-4,-5,25,12,-5
2018-8-22-2-10,2018,234,2,10,3.63,0.09,-0.61,-3.32,-1.41,-3.06,516.8,4.99,111758,2.67,1.58,-3,-5,25,11,-5
2018-8-22-2-15,2018,234,2,15,3.8,-0.29,0.17,-3.78,-0.78,-3.7,515.6,4.75,110340,2.52,1.91,-2,-7,26,9,-7
2018-8-22-2-20,2018,234,2,20,3.62,0.08,0.27,-3.46,-0.61,-3.41,514.5,4.71,106740,2.49,1.63,-1,-8,27,9,-8
2018-8-22-2-25,2018,234,2,25,3.15,0.45,-0.13,-3.1,-0.92,-2.97,513.2,4.58,110578,2.41,1.52,-1,-10,28,8,-10
2018-8-22-2-30,2018,234,2,30,2.91,0.28,-0.07,-2.89,-0.81,-2.78,511.8,4.64,116379,2.43,1.42,-1,-13,30,8,-13
2018-8-22-2-35,2018,234,2,35,3.03,0.42,0.07,-2.98,-0.7,-2.9,511.1,4.49,125556,2.35,1.48,0,-14,31,9,-14
2018-8-22-2-40,2018,234,2,40,2.78,-0.18,0.43,-2.69,-0.29,-2.71,508.0,4.39,126562,2.27,1.38,0,-14,32,9,-14
2018-8-22-2-45,2018,234,2,45,2.83,-0.09,0.79,-2.7,0.04,-2.81,505.8,4.48,113253,2.29,1.42,1,-15,31,11,-15
2018-8-22-2-50,2018,234,2,50,2.35,-0.28,0.49,-2.27,-0.14,-2.32,506.4,4.46,124752,2.29,1.17,2,-16,33,12,-16
2018-8-22-2-55,2018,234,2,55,2.5,0.05,0.78,-2.34,0.12,-2.47,505.9,4.55,118959,2.33,1.25,2,-17,34,13,-17
2018-8-22-3-0,2018,234,3,0,2.66,0.1,0.42,-2.6,-0.31,-2.61,509.4,4.22,110608,2.19,1.33,2,-18,35,14,-18
2018-8-22-3-5,2018,234,3,5,2.47,-0.36,-0.52,-2.25,-1.12,-2.01,504.4,4.06,119156,2.07,1.01,2,-18,34,15,-18
2018-8-22-3-10,2018,234,3,10,2.81,0.76,-0.74,-2.01,-1.27,-1.72,506.7,4.24,109721,2.18,0.87,2,-19,34,15,-19
2018-8-22-3-15,2018,234,3,15,2.95,1.45,-0.68,-1.61,-1.11,-1.35,509.4,4.62,122286,2.39,0.68,2,-17,34,12,-17
2018-8-22-3-20,2018,234,3,20,3.33,2.21,-0.17,-1.55,-0.61,-1.44,507.6,4.52,123874,2.33,0.73,1,-16,35,12,-16
2018-8-22-3-25,2018,234,3,25,3.41,2.18,0.16,-1.6,-0.31,-1.58,503.4,4.46,129318,2.26,0.79,0,-18,35,13,-18
2018-8-22-3-30,2018,234,3,30,3.0,1.68,-0.02,-1.51,-0.46,-1.44,505.1,4.41,116703,2.25,0.73,-1,-18,34,14,-18
2018-8-22-3-35,2018,234,3,35,3.06,1.95,0.06,-1.22,-0.3,-1.18,501.3,4.58,122484,2.3,0.59,-1,-19,34,17,-19
2018-8-22-3-40,2018,234,3,40,2.93,1.77,-0.06,-1.06,-0.38,-0.99,502.6,4.54,123695,2.29,0.5,0,-20,32,19,-20
2018-8-22-3-45,2018,234,3,45,3.1,2.11,-0.22,-0.82,-0.46,-0.71,497.5,4.69,132884,2.32,0.35,1,-20,31,20,-20
2018-8-22-3-50,2018,234,3,50,3.41,3.33,-0.19,-0.55,-0.35,-0.47,496.7,4.5,130095,2.22,0.23,1,-18,30,17,-18
2018-8-22-3-55,2018,234,3,55,3.22,3.19,-0.37,0.19,-0.29,0.29,499.8,4.55,120407,2.27,-0.15,0,-14,30,12,-14
2018-8-22-4-0,2018,234,4,0,3.11,3.05,-0.45,0.32,-0.33,0.45,500.0,4.63,122900,2.32,-0.22,-2,-13,30,13,-13
2018-8-22-4-5,2018,234,4,5,2.99,2.89,-0.52,0.57,-0.31,0.7,499.6,4.6,122606,2.3,-0.33,-4,-13,29,10,-13
2018-8-22-4-10,2018,234,4,10,3.14,2.99,-0.68,0.46,-0.5,0.65,500.8,4.68,122100,2.35,-0.33,-3,-14,27,9,-14
2018-8-22-4-15,2018,234,4,15,3.62,3.41,-0.85,0.77,-0.55,1.0,502.4,4.29,115635,2.17,-0.5,-2,-15,24,12,-15
2018-8-22-4-20,2018,234,4,20,3.18,3.01,-0.66,0.68,-0.4,0.86,507.7,4.48,119332,2.31,-0.44,-1,-17,21,16,-17
2018-8-22-4-25,2018,234,4,25,2.58,2.25,-0.76,-0.05,-0.73,0.21,500.2,4.89,110070,2.45,-0.26,0,-18,22,19,-18
2018-8-22-4-30,2018,234,4,30,2.33,2.16,-0.72,0.39,-0.55,0.61,499.1,4.8,106491,2.4,-0.3,0,-18,22,19,-18
2018-8-22-4-35,2018,234,4,35,2.4,2.32,-0.47,0.08,-0.41,0.24,498.0,4.65,110000,2.3,-0.08,0,-17,21,18,-17
2018-8-22-4-40,2018,234,4,40,2.65,2.48,-0.4,-0.28,-0.47,-0.13,498.0,4.42,113766,2.2,0.09,-1,-16,18,19,-16
2018-8-22-4-45,2018,234,4,45,2.8,2.03,-1.38,-1.12,-1.68,-0.58,496.2,4.15,111202,2.05,0.29,-2,-17,16,17,-17
2018-8-22-4-50,2018,234,4,50,2.68,1.96,-1.36,-1.07,-1.64,-0.53,495.5,4.3,110395,2.11,0.26,-2,-16,14,15,-16
2018-8-22-4-55,2018,234,4,55,2.78,1.64,-1.33,-1.69,-1.84,-1.12,494.1,4.09,109331,2.0,0.55,-2,-16,13,14,-16
2018-8-22-5-0,2018,234,5,0,2.83,1.78,-1.3,-1.63,-1.79,-1.06,495.4,4.66,108462,2.29,0.43,-3,-14,13,13,-14
2018-8-22-5-5,2018,234,5,5,2.9,2.09,-1.14,-1.53,-1.61,-1.02,493.9,3.97,112862,1.94,0.5,-3,-14,14,14,-14
2018-8-22-5-10,2018,234,5,10,2.85,1.63,-1.21,-1.6,-1.7,-1.06,495.1,4.75,91184,2.33,0.48,-2,-13,14,14,-13
2018-8-22-5-15,2018,234,5,15,2.67,1.31,-1.25,-0.31,-1.28,0.16,498.4,4.72,83717,2.35,-0.08,-2,-12,14,15,-12
2018-8-22-5-20,2018,234,5,20,2.74,0.75,-0.87,-2.33,-1.66,-1.85,500.4,4.93,72514,2.47,0.92,-2,-10,14,14,-10
2018-8-22-5-25,2018,234,5,25,2.91,0.39,-1.46,-2.47,-2.27,-1.75,500.2,4.73,67758,2.37,0.94,-2,-10,14,15,-10
2018-8-22-5-30,2018,234,5,30,2.93,0.5,-1.73,-2.28,-2.46,-1.47,499.3,5.0,66823,2.49,0.77,-2,-11,15,20,-11
