Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1998-6-22-0-0,1998,173,0,0,5.62,2.91,-4.76,-0.36,-4.62,-1.22,403.9,4.67,75347,1.53,0.49,-4,-25,19,13,-25
1998-6-22-0-5,1998,173,0,5,5.57,2.71,-4.81,-0.54,-4.63,-1.39,404.5,4.53,77476,1.49,0.56,-4,-26,15,11,-26
1998-6-22-0-10,1998,173,0,10,5.53,1.97,-4.1,-1.39,-3.79,-2.1,404.8,4.79,76975,1.57,0.85,-4,-25,14,9,-25
1998-6-22-0-15,1998,173,0,15,5.68,-0.2,-3.7,-4.11,-2.92,-4.7,417.4,4.27,82583,1.48,1.96,-4,-25,13,9,-25
1998-6-22-0-20,1998,173,0,20,5.61,0.14,-3.93,-3.93,-3.18,-4.56,416.1,4.52,75858,1.56,1.87,-4,-25,13,9,-25
1998-6-22-0-25,1998,173,0,25,5.54,1.96,-4.56,-2.2,-4.11,-2.95,408.3,4.67,85131,1.56,1.21,-4,-24,14,8,-24
1998-6-22-0-30,1998,173,0,30,5.54,2.31,-4.71,-1.38,-4.41,-2.16,407.1,4.79,79388,1.59,0.88,-4,-24,16,7,-24
1998-6-22-0-35,1998,173,0,35,5.65,1.91,-5.18,-1.16,-4.91,-2.01,409.1,4.87,73831,1.63,0.82,-3,-23,18,9,-23
1998-6-22-0-40,1998,173,0,40,5.94,2.12,-5.34,-1.5,-5.01,-2.36,410.2,4.02,70480,1.35,0.97,-2,-23,19,9,-23
1998-6-22-0-45,1998,173,0,45,6.26,2.14,-5.52,-1.99,-5.12,-2.86,412.0,3.65,62683,1.24,1.18,-2,-24,20,10,-24
1998-6-22-0-50,1998,173,0,50,5.65,1.66,-5.18,-0.4,-5.05,-1.23,409.6,4.96,76836,1.67,0.5,-3,-26,19,8,-26
1998-6-22-0-55,1998,173,0,55,5.87,1.99,-5.12,2.05,-5.38,1.22,407.8,4.66,69336,1.55,-0.52,-2,-26,20,8,-26
1998-6-22-1-0,1998,173,1,0,5.63,2.35,-4.61,2.16,-4.89,1.41,406.7,4.64,68731,1.53,-0.57,-2,-25,21,9,-25
1998-6-22-1-5,1998,173,1,5,5.19,0.94,-4.54,-1.48,-4.26,-2.16,411.9,4.45,71638,1.51,0.74,-2,-25,20,9,-25
1998-6-22-1-10,1998,173,1,10,5.28,-0.21,-4.57,-2.52,-4.13,-3.18,416.6,4.87,70912,1.69,1.34,-2,-26,18,10,-26
1998-6-22-1-15,1998,173,1,15,5.36,0.27,-4.76,-2.13,-4.39,-2.81,415.9,4.79,73264,1.66,1.2,-2,-28,16,12,-28
1998-6-22-1-20,1998,173,1,20,5.73,2.65,-4.68,-0.51,-4.56,-1.18,413.0,4.13,68542,1.41,0.67,-2,-28,17,10,-28
1998-6-22-1-25,1998,173,1,25,5.65,3.12,-4.62,-0.67,-4.48,-1.32,407.5,4.25,74402,1.41,0.53,0,-26,20,12,-26
1998-6-22-1-30,1998,173,1,30,5.65,2.74,-4.77,-0.92,-4.6,-1.58,407.7,4.01,70126,1.33,0.65,0,-25,20,15,-25
1998-6-22-1-35,1998,173,1,35,5.7,1.35,-5.06,-1.96,-4.74,-2.63,413.5,4.02,64769,1.38,1.09,3,-29,22,26,-29
1998-6-22-1-40,1998,173,1,40,5.69,1.89,-4.96,-2.05,-4.64,-2.7,416.4,3.99,55820,1.38,1.12,5,-31,27,35,-31
1998-6-22-1-45,1998,173,1,45,5.64,2.14,-4.68,-2.26,-4.34,-2.86,412.8,3.85,59950,1.31,1.18,7,-29,30,39,-29
