Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1999-4-13-0-0,1999,103,0,0,5.16,-4.46,1.79,1.73,0.61,2.41,428.0,2.87,181719,1.05,-1.02,0,-8,5,13,-8
1999-4-13-0-5,1999,103,0,5,5.26,-4.56,0.62,2.52,-0.79,2.47,427.2,2.96,164944,1.08,-1.06,0,-8,4,14,-8
1999-4-13-0-10,1999,103,0,10,5.21,-4.79,0.15,1.97,-0.9,1.75,426.1,3.1,155374,1.13,-0.8,0,-8,4,15,-8
1999-4-13-0-15,1999,103,0,15,5.16,-4.92,-0.08,1.48,-0.84,1.22,423.8,3.08,156746,1.1,-0.52,0,-9,4,17,-9
1999-4-13-0-20,1999,103,0,20,5.02,-4.11,-0.68,2.7,-1.99,1.95,428.4,3.13,157963,1.15,-0.83,-1,-9,4,16,-9
1999-4-13-0-25,1999,103,0,25,5.03,-4.15,-1.47,2.38,-2.49,1.27,426.9,3.26,141816,1.19,-0.54,-1,-9,4,17,-9
1999-4-13-0-30,1999,103,0,30,4.9,-3.5,-0.34,3.1,-1.9,2.47,429.8,2.96,158587,1.09,-1.07,-1,-9,5,16,-9
1999-4-13-0-35,1999,103,0,35,4.9,-3.56,-0.7,3.24,-2.27,2.42,428.9,2.97,150059,1.09,-1.04,-1,-9,5,19,-9
1999-4-13-0-40,1999,103,0,40,4.91,-3.4,0.15,3.35,-1.59,2.95,429.3,2.98,152881,1.1,-1.22,-1,-9,6,19,-9
1999-4-13-0-45,1999,103,0,45,4.94,-3.17,0.57,3.66,-1.39,3.43,431.2,2.94,154750,1.1,-1.48,-1,-9,7,19,-9
1999-4-13-0-50,1999,103,0,50,4.87,-3.34,-0.18,3.48,-1.94,2.9,429.8,3.15,147520,1.16,-1.25,-1,-8,7,21,-8
1999-4-13-0-55,1999,103,0,55,5.19,-3.38,-1.25,3.63,-2.92,2.48,432.8,3.23,144914,1.21,-1.08,-1,-9,8,20,-9
1999-4-13-1-0,1999,103,1,0,4.97,-3.53,-2.23,2.39,-3.13,0.93,427.8,3.43,145353,1.26,-0.47,-1,-9,9,21,-9
1999-4-13-1-5,1999,103,1,5,4.77,-2.66,-2.93,2.45,-3.77,0.63,431.8,3.15,140267,1.18,-0.27,-1,-9,10,22,-9
1999-4-13-1-10,1999,103,1,10,4.51,-2.89,-1.28,3.15,-2.69,2.08,428.6,3.12,146467,1.15,-0.89,-1,-9,10,21,-9
1999-4-13-1-15,1999,103,1,15,4.63,-2.8,-0.37,3.51,-2.08,2.85,429.4,2.88,153926,1.06,-1.23,-1,-9,11,22,-9
1999-4-13-1-20,1999,103,1,20,4.67,-3.25,-1.44,2.83,-2.66,1.73,427.3,2.94,142899,1.08,-0.74,-1,-9,11,23,-9
1999-4-13-1-25,1999,103,1,25,4.64,-3.14,-1.3,3.0,-2.62,1.95,428.8,2.88,146740,1.06,-0.84,-1,-9,12,23,-9
1999-4-13-1-30,1999,103,1,30,4.69,-3.54,-1.7,2.33,-2.63,1.19,428.3,3.09,138993,1.14,-0.51,-2,-9,13,24,-9
1999-4-13-1-35,1999,103,1,35,4.59,-3.54,-0.81,2.71,-2.04,1.96,427.7,2.92,149161,1.07,-0.84,-2,-9,13,23,-9
1999-4-13-1-40,1999,103,1,40,4.85,-3.17,-0.93,3.48,-2.52,2.58,429.9,2.77,138247,1.02,-1.11,-2,-9,14,24,-9
1999-4-13-1-45,1999,103,1,45,4.83,-3.24,-1.06,3.28,-2.53,2.34,428.9,2.79,137931,1.03,-1.01,-2,-9,15,24,-9
1999-4-13-1-50,1999,103,1,50,4.78,-3.23,-1.7,2.99,-2.94,1.79,429.4,2.95,134913,1.08,-0.77,-2,-9,15,24,-9
1999-4-13-1-55,1999,103,1,55,4.78,-2.94,-0.61,3.59,-2.27,2.85,431.3,2.78,142397,1.03,-1.23,-2,-10,15,23,-10
1999-4-13-2-0,1999,103,2,0,4.85,-2.41,-0.15,4.17,-2.14,3.59,435.8,2.49,137117,0.95,-1.56,-2,-10,15,23,-10
1999-4-13-2-5,1999,103,2,5,4.82,-2.23,0.05,4.25,-1.98,3.76,438.7,2.45,141796,0.94,-1.66,-2,-10,15,24,-10
