Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2004-11-4-0-0,2004,309,0,0,9.33,4.47,-5.37,6.17,-4.48,6.84,402.2,21.62,36877,6.99,-2.75,1,0,7,11,0
2004-11-4-0-1,2004,309,0,1,9.77,4.73,-5.57,6.48,-4.63,7.18,402.6,21.72,40089,7.04,-2.89,1,0,7,11,0
2004-11-4-0-2,2004,309,0,2,9.65,4.7,-5.43,6.43,-4.5,7.11,401.7,21.41,34984,6.91,-2.86,1,0,7,11,0
2004-11-4-0-3,2004,309,0,3,9.64,4.97,-5.32,6.31,-4.4,6.98,401.7,21.41,34984,6.91,-2.8,1,1,7,10,1
2004-11-4-0-4,2004,309,0,4,9.61,4.53,-5.4,6.51,-4.45,7.19,400.1,21.43,37689,6.86,-2.88,1,1,7,10,1
2004-11-4-0-5,2004,309,0,5,9.62,4.3,-5.79,6.36,-4.86,7.1,403.5,22.43,39979,7.3,-2.86,1,0,8,10,0
2004-11-4-0-6,2004,309,0,6,9.21,3.93,-5.59,6.16,-4.69,6.87,406.5,22.96,42646,7.59,-2.79,1,0,8,10,0
2004-11-4-0-7,2004,309,0,7,9.1,5.55,-0.86,5.87,-0.04,5.93,403.4,24.58,50073,8.0,-2.39,1,0,8,10,0
2004-11-4-0-8,2004,309,0,8,9.1,6.02,0.22,5.53,0.98,5.45,399.9,22.91,53145,7.33,-2.18,1,0,8,10,0
2004-11-4-0-9,2004,309,0,9,8.91,5.43,-1.76,6.69,-0.81,6.87,403.4,22.36,53884,7.28,-2.77,1,0,8,9,0
2004-11-4-0-10,2004,309,0,10,9.24,5.19,5.15,4.17,5.68,3.41,404.3,22.5,53592,7.36,-1.38,1,-1,8,9,-1
2004-11-4-0-11,2004,309,0,11,9.39,5.17,6.99,3.21,7.37,2.2,406.0,21.4,58829,7.05,-0.89,1,-1,7,9,-1
2004-11-4-0-12,2004,309,0,12,9.61,6.23,5.3,5.01,5.95,4.22,401.3,19.73,53685,6.35,-1.69,1,-1,7,10,-1
2004-11-4-0-13,2004,309,0,13,10.05,7.16,4.98,4.99,5.63,4.24,402.8,18.75,54484,6.08,-1.71,1,0,7,10,0
2004-11-4-0-14,2004,309,0,14,10.03,7.14,3.93,5.8,4.71,5.19,399.6,17.24,48627,5.51,-2.07,1,0,8,11,0
2004-11-4-0-15,2004,309,0,15,9.59,6.56,1.61,6.68,2.53,6.39,402.7,19.49,56203,6.32,-2.57,1,0,8,10,0
2004-11-4-0-16,2004,309,0,16,9.59,6.8,1.81,6.43,2.7,6.11,402.7,19.74,56186,6.4,-2.46,1,1,8,10,1
2004-11-4-0-17,2004,309,0,17,9.39,6.05,-0.52,7.1,0.49,7.1,402.6,18.57,61906,6.02,-2.86,1,1,8,11,1
2004-11-4-0-18,2004,309,0,18,9.19,4.83,-1.44,7.33,-0.39,7.46,409.2,24.06,50789,8.06,-3.05,1,2,8,10,2
2004-11-4-0-19,2004,309,0,19,9.36,4.59,-2.05,7.83,-0.92,8.04,409.2,24.09,50719,8.07,-3.29,1,2,8,10,2
2004-11-4-0-22,2004,309,0,22,9.25,5.42,-2.6,6.24,-1.68,6.55,402.8,18.98,51323,6.16,-2.64,1,3,8,10,3
2004-11-4-0-23,2004,309,0,23,9.07,3.33,-6.05,5.62,-5.18,6.43,409.3,26.45,50263,8.86,-2.63,1,3,8,10,3
2004-11-4-0-24,2004,309,0,24,9.11,4.6,-4.5,6.19,-3.56,6.77,411.4,28.95,49916,9.8,-2.79,1,3,8,10,3
2004-11-4-0-26,2004,309,0,26,9.77,5.01,-4.92,6.78,-3.89,7.42,406.6,23.73,41536,7.85,-3.02,1,2,8,11,2
2004-11-4-0-27,2004,309,0,27,9.76,4.69,-6.3,5.75,-5.4,6.6,405.7,23.36,41775,7.69,-2.68,1,2,8,11,2
2004-11-4-0-28,2004,309,0,28,9.73,4.7,-6.62,5.32,-5.78,6.22,406.7,23.97,41939,7.93,-2.53,1,2,8,11,2
2004-11-4-0-29,2004,309,0,29,9.99,4.91,-6.77,5.45,-5.9,6.38,403.8,24.07,43113,7.85,-2.58,1,2,9,11,2
2004-11-4-0-30,2004,309,0,30,9.99,4.08,-7.45,5.26,-6.6,6.29,405.8,24.34,40581,8.02,-2.55,0,3,9,11,3
2004-11-4-0-31,2004,309,0,31,9.87,4.31,-7.02,5.34,-6.16,6.31,408.2,25.07,40114,8.35,-2.58,1,2,9,12,2
