Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
2013-6-26-0-0,2013,177,0,0,2.71,2.15,-1.41,-0.35,-1.35,-0.54,484.6,1.05,60607,0.49,0.26,-2,-12,21,23,-12
2013-6-26-0-1,2013,177,0,1,2.7,1.99,-1.63,-0.33,-1.57,-0.55,484.0,1.05,60451,0.49,0.27,-2,-12,21,23,-12
2013-6-26-0-2,2013,177,0,2,2.68,1.84,-1.75,-0.44,-1.67,-0.68,486.9,1.09,64473,0.52,0.33,-2,-12,21,23,-12
2013-6-26-0-3,2013,177,0,3,2.68,1.89,-1.71,-0.49,-1.63,-0.72,491.6,1.22,74173,0.59,0.35,-2,-12,21,23,-12
2013-6-26-0-4,2013,177,0,4,2.68,2.07,-1.52,-0.34,-1.46,-0.55,480.9,0.94,57183,0.43,0.26,-2,-12,22,23,-12
2013-6-26-0-5,2013,177,0,5,2.67,2.25,-1.18,-0.33,-1.12,-0.49,484.1,0.95,54658,0.45,0.24,-2,-13,21,22,-13
2013-6-26-0-6,2013,177,0,6,2.65,2.24,-0.85,-0.96,-0.71,-1.07,492.8,1.07,61180,0.52,0.53,-2,-13,21,22,-13
2013-6-26-0-7,2013,177,0,7,2.69,2.32,-0.85,-0.83,-0.73,-0.94,475.2,0.81,56463,0.37,0.45,-2,-13,21,22,-13
2013-6-26-0-8,2013,177,0,8,2.67,2.23,-1.02,-0.47,-0.95,-0.61,481.6,0.98,62331,0.45,0.29,-2,-12,21,22,-12
2013-6-26-0-9,2013,177,0,9,2.67,2.25,-0.9,-0.27,-0.85,-0.39,483.8,1.04,64297,0.49,0.19,-2,-13,22,23,-13
2013-6-26-0-12,2013,177,0,12,2.66,2.03,-1.53,-0.05,-1.51,-0.26,492.6,1.04,55912,0.5,0.13,-2,-13,22,23,-13
2013-6-26-0-13,2013,177,0,13,2.66,1.99,-1.39,-0.13,-1.36,-0.32,487.5,1.0,53646,0.48,0.16,-2,-13,23,24,-13
2013-6-26-0-14,2013,177,0,14,2.67,2.05,-1.55,-0.28,-1.5,-0.49,470.7,0.86,46594,0.38,0.23,-2,-13,24,23,-13
2013-6-26-0-15,2013,177,0,15,2.68,2.49,-0.49,-0.81,-0.38,-0.87,486.0,0.98,55502,0.46,0.42,-1,-13,24,24,-13
2013-6-26-0-16,2013,177,0,16,2.71,2.03,-1.48,-0.11,-1.45,-0.31,486.1,0.98,55544,0.46,0.15,-1,-13,24,24,-13
2013-6-26-0-23,2013,177,0,23,2.7,2.14,-1.54,0.53,-1.6,0.32,471.5,0.66,42166,0.29,-0.15,-1,-13,26,25,-13
2013-6-26-0-24,2013,177,0,24,2.7,2.14,-1.54,0.53,-1.6,0.32,471.5,0.66,42166,0.29,-0.15,-1,-13,26,25,-13
2013-6-26-0-25,2013,177,0,25,2.7,2.2,-1.48,0.5,-1.53,0.3,471.5,0.66,42166,0.29,-0.14,-1,-13,27,25,-13
2013-6-26-0-31,2013,177,0,31,2.71,2.14,-1.59,0.48,-1.64,0.27,473.1,0.78,40898,0.35,-0.13,-1,-13,26,24,-13
2013-6-26-0-32,2013,177,0,32,2.74,2.14,-1.61,0.53,-1.66,0.32,473.1,0.78,40898,0.35,-0.15,-1,-13,26,24,-13
2013-6-26-0-33,2013,177,0,33,2.72,2.07,-1.62,0.57,-1.68,0.36,473.1,0.78,40898,0.35,-0.17,-1,-13,25,24,-13
2013-6-26-0-34,2013,177,0,34,2.72,1.89,-1.74,0.82,-1.83,0.59,486.9,1.05,53008,0.5,-0.29,-1,-13,26,23,-13
2013-6-26-0-35,2013,177,0,35,2.71,1.83,-1.78,0.84,-1.87,0.61,481.6,0.89,44274,0.41,-0.29,-1,-13,25,23,-13
2013-6-26-0-36,2013,177,0,36,2.71,1.92,-1.46,1.04,-1.58,0.85,474.0,0.66,31686,0.3,-0.4,0,-13,25,23,-13
2013-6-26-0-37,2013,177,0,37,2.71,2.08,-1.25,1.01,-1.37,0.84,484.6,1.1,61686,0.52,-0.41,-1,-13,25,23,-13
2013-6-26-0-38,2013,177,0,38,2.72,2.1,-1.22,1.0,-1.34,0.84,479.4,1.04,57568,0.48,-0.4,-1,-13,25,23,-13
2013-6-26-0-39,2013,177,0,39,2.71,2.06,-1.34,0.98,-1.45,0.8,479.8,1.08,56901,0.5,-0.38,0,-13,24,23,-13
2013-6-26-0-40,2013,177,0,40,2.71,2.03,-1.23,1.16,-1.37,1.0,485.3,1.19,62340,0.56,-0.49,-1,-14,24,22,-14
2013-6-26-0-41,2013,177,0,41,2.7,2.16,-1.04,1.02,-1.16,0.88,481.1,1.04,54876,0.48,-0.42,0,-14,24,22,-14
2013-6-26-0-42,2013,177,0,42,2.71,2.06,-1.29,1.07,-1.41,0.9,476.4,0.98,51831,0.44,-0.43,-1,-14,24,22,-14
2013-6-26-0-43,2013,177,0,43,2.71,2.03,-1.27,1.1,-1.4,0.93,469.2,0.88,47094,0.39,-0.44,0,-14,24,22,-14
2013-6-26-0-44,2013,177,0,44,2.71,1.8,-1.56,1.19,-1.7,0.99,481.3,1.06,73785,0.49,-0.48,0,-14,23,22,-14
2013-6-26-0-45,2013,177,0,45,2.71,2.14,-1.3,0.91,-1.4,0.74,483.3,1.07,66921,0.5,-0.36,0,-14,24,21,-14
2013-6-26-0-46,2013,177,0,46,2.71,1.68,-1.6,1.3,-1.75,1.09,483.9,0.93,51232,0.44,-0.53,0,-14,23,21,-14
2013-6-26-0-47,2013,177,0,47,2.7,1.84,-1.58,1.1,-1.7,0.9,484.2,0.94,51599,0.44,-0.44,0,-14,24,21,-14
2013-6-26-0-48,2013,177,0,48,2.71,1.68,-1.67,1.17,-1.8,0.96,488.2,1.06,56904,0.51,-0.47,-1,-14,23,21,-14
2013-6-26-0-49,2013,177,0,49,2.7,1.55,-1.77,1.16,-1.9,0.94,488.3,1.06,57021,0.51,-0.46,0,-14,23,21,-14
2013-6-26-0-50,2013,177,0,50,2.7,1.76,-1.73,0.89,-1.83,0.67,481.5,0.98,57163,0.45,-0.32,0,-14,23,21,-14
2013-6-26-0-51,2013,177,0,51,2.71,1.96,-1.59,0.8,-1.68,0.6,486.5,1.08,64908,0.51,-0.29,0,-15,23,21,-15
2013-6-26-0-52,2013,177,0,52,2.71,2.07,-1.5,0.75,-1.58,0.56,468.6,0.91,40271,0.4,-0.26,0,-14,23,21,-14
2013-6-26-0-53,2013,177,0,53,2.71,2.08,-1.48,0.67,-1.55,0.49,468.6,0.91,40271,0.4,-0.23,0,-14,23,20,-14
2013-6-26-0-54,2013,177,0,54,2.69,1.72,-1.85,0.82,-1.93,0.59,483.8,1.02,55122,0.48,-0.29,0,-14,23,20,-14
2013-6-26-0-55,2013,177,0,55,2.71,1.82,-1.73,0.79,-1.81,0.58,484.4,1.01,58299,0.47,-0.28,0,-15,23,19,-15
2013-6-26-0-56,2013,177,0,56,2.71,1.9,-1.7,0.74,-1.78,0.53,487.7,1.08,58516,0.51,-0.26,0,-15,23,19,-15
2013-6-26-0-57,2013,177,0,57,2.73,2.09,-1.61,0.51,-1.66,0.32,485.0,1.05,55734,0.49,-0.16,0,-14,22,19,-14
2013-6-26-0-58,2013,177,0,58,2.71,2.12,-1.53,0.69,-1.6,0.5,472.3,0.89,42716,0.4,-0.24,0,-15,22,19,-15
2013-6-26-0-59,2013,177,0,59,2.7,2.11,-1.47,0.62,-1.53,0.44,477.5,0.96,58281,0.44,-0.21,0,-15,23,19,-15
2013-6-26-1-0,2013,177,1,0,2.69,1.9,-1.37,1.2,-1.5,1.03,477.6,0.96,58516,0.44,-0.49,0,-14,22,19,-14
2013-6-26-1-1,2013,177,1,1,2.7,1.92,-1.5,0.99,-1.61,0.81,483.0,0.99,53953,0.46,-0.39,0,-15,23,19,-15
2013-6-26-1-2,2013,177,1,2,2.7,2.06,-1.37,0.9,-1.47,0.73,476.8,0.92,56982,0.42,-0.35,0,-15,23,19,-15
2013-6-26-1-3,2013,177,1,3,2.69,2.22,-1.33,0.63,-1.39,0.47,473.4,0.91,47506,0.41,-0.22,0,-15,23,18,-15
2013-6-26-1-4,2013,177,1,4,2.69,2.14,-1.34,0.89,-1.43,0.73,482.0,1.03,59421,0.48,-0.35,-1,-15,22,19,-15
2013-6-26-1-5,2013,177,1,5,2.71,1.95,-1.59,0.96,-1.69,0.77,480.1,1.04,71217,0.48,-0.37,0,-15,23,19,-15
2013-6-26-1-6,2013,177,1,6,2.69,2.19,-1.39,0.7,-1.46,0.54,477.1,1.03,77107,0.47,-0.26,0,-15,23,19,-15
2013-6-26-1-9,2013,177,1,9,2.71,2.01,-1.76,0.2,-1.77,-0.0,479.0,0.97,53767,0.45,0.0,0,-15,23,18,-15
2013-6-26-1-10,2013,177,1,10,2.69,2.05,-1.69,0.25,-1.71,0.06,480.2,0.96,53900,0.44,-0.03,0,-15,22,19,-15
2013-6-26-1-11,2013,177,1,11,2.71,2.07,-1.66,0.45,-1.7,0.26,475.7,0.95,51247,0.43,-0.12,0,-15,23,19,-15
2013-6-26-1-12,2013,177,1,12,2.71,2.02,-1.77,0.11,-1.77,-0.09,476.4,0.96,52565,0.44,0.04,0,-15,22,19,-15
2013-6-26-1-13,2013,177,1,13,2.7,2.0,-1.81,-0.02,-1.8,-0.22,479.1,0.92,54814,0.42,0.11,0,-15,23,19,-15
2013-6-26-1-14,2013,177,1,14,2.72,1.77,-1.75,0.94,-1.84,0.74,479.1,0.92,54814,0.42,-0.35,0,-15,23,19,-15
2013-6-26-1-15,2013,177,1,15,2.7,1.86,-1.78,0.79,-1.86,0.59,481.5,0.99,55177,0.46,-0.28,0,-15,23,19,-15
2013-6-26-1-16,2013,177,1,16,2.7,1.85,-1.8,0.74,-1.87,0.54,481.6,0.99,55026,0.46,-0.26,0,-15,24,19,-15
2013-6-26-1-17,2013,177,1,17,2.69,1.74,-1.8,0.95,-1.89,0.75,483.9,0.99,51604,0.46,-0.36,0,-15,24,19,-15
2013-6-26-1-18,2013,177,1,18,2.69,1.79,-1.83,0.83,-1.91,0.63,483.9,0.99,51585,0.46,-0.3,0,-15,24,19,-15
2013-6-26-1-19,2013,177,1,19,2.69,1.83,-1.83,0.72,-1.9,0.52,482.6,1.06,60031,0.49,-0.25,0,-14,24,19,-14
