Timestamp,YEAR,DOY,HR,MN,Field_magnitude_average,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Proton_Density,Proton_Temperature,Flow_pressure,Electric_field,SYM_D,SYM_H,ASY_D,ASY_H,SYMH_ORIG
1998-6-22-0-0,1998,173,0,0,5.6,2.83,-4.81,0.14,-4.76,-0.74,404.0,4.52,80242,1.48,0.3,-4,-25,20,13,-25
1998-6-22-0-1,1998,173,0,1,5.67,3.02,-4.75,-0.43,-4.59,-1.28,403.1,4.61,73230,1.5,0.52,-4,-25,20,13,-25
1998-6-22-0-2,1998,173,0,2,5.62,3.04,-4.7,-0.04,-4.62,-0.89,404.2,4.71,72448,1.54,0.36,-4,-25,19,13,-25
1998-6-22-0-3,1998,173,0,3,5.63,2.89,-4.79,-0.57,-4.61,-1.43,405.0,4.79,71875,1.57,0.58,-5,-25,18,12,-25
1998-6-22-0-4,1998,173,0,4,5.59,2.78,-4.76,-0.9,-4.52,-1.74,403.4,4.74,78940,1.54,0.7,-5,-25,17,12,-25
1998-6-22-0-5,1998,173,0,5,5.59,2.69,-4.83,-0.72,-4.62,-1.58,405.5,4.67,80243,1.54,0.64,-4,-25,16,12,-25
1998-6-22-0-6,1998,173,0,6,5.61,2.78,-4.8,-0.64,-4.61,-1.49,405.9,4.69,80487,1.55,0.6,-4,-26,15,11,-26
1998-6-22-0-7,1998,173,0,7,5.57,2.6,-4.87,-0.57,-4.69,-1.43,403.4,4.59,76756,1.49,0.58,-4,-25,15,11,-25
1998-6-22-0-8,1998,173,0,8,5.56,2.73,-4.75,-0.86,-4.52,-1.7,403.8,4.38,75118,1.43,0.69,-4,-26,14,12,-26
1998-6-22-0-9,1998,173,0,9,5.53,2.74,-4.78,0.1,-4.72,-0.76,403.9,4.34,74776,1.42,0.31,-4,-26,14,10,-26
1998-6-22-0-10,1998,173,0,10,5.66,3.04,-4.75,-0.08,-4.66,-0.93,402.4,4.72,74130,1.53,0.37,-4,-25,14,9,-25
1998-6-22-0-11,1998,173,0,11,5.54,2.9,-4.63,0.75,-4.69,-0.09,403.3,4.82,75561,1.57,0.04,-4,-25,14,9,-25
1998-6-22-0-12,1998,173,0,12,5.59,2.99,-4.61,0.31,-4.59,-0.51,405.5,4.96,77835,1.63,0.21,-4,-25,14,9,-25
1998-6-22-0-13,1998,173,0,13,5.41,1.01,-3.98,-3.33,-3.33,-3.98,400.1,4.71,75683,1.51,1.59,-4,-25,14,9,-25
1998-6-22-0-14,1998,173,0,14,5.46,-0.1,-2.53,-4.6,-1.68,-4.98,412.7,4.75,81665,1.62,2.06,-4,-25,14,9,-25
1998-6-22-0-15,1998,173,0,15,5.35,-0.15,-2.78,-4.16,-2.0,-4.59,413.7,4.86,99224,1.66,1.9,-4,-25,14,9,-25
1998-6-22-0-16,1998,173,0,16,5.6,0.07,-3.64,-4.04,-2.87,-4.62,413.7,4.86,99224,1.66,1.91,-4,-25,13,9,-25
1998-6-22-0-17,1998,173,0,17,5.86,-0.31,-4.08,-4.11,-3.29,-4.76,419.8,3.75,69800,1.32,2.0,-4,-25,12,9,-25
1998-6-22-0-18,1998,173,0,18,5.94,-0.26,-4.22,-4.04,-3.45,-4.72,419.5,3.91,73771,1.38,1.98,-4,-25,13,8,-25
1998-6-22-0-19,1998,173,0,19,5.67,-0.33,-3.77,-4.22,-2.97,-4.81,420.3,3.95,70894,1.4,2.02,-4,-25,12,8,-25
1998-6-22-0-20,1998,173,0,20,5.54,0.52,-4.17,-3.61,-3.48,-4.28,416.3,4.54,73297,1.57,1.78,-4,-25,12,9,-25
1998-6-22-0-21,1998,173,0,21,5.69,-0.22,-3.71,-4.3,-2.9,-4.88,416.3,4.54,73297,1.57,2.03,-4,-25,13,9,-25
1998-6-22-0-23,1998,173,0,23,5.64,-0.28,-3.68,-4.26,-2.88,-4.83,418.3,4.62,76435,1.62,2.02,-4,-25,13,9,-25
1998-6-22-0-24,1998,173,0,24,5.59,0.96,-4.36,-3.3,-3.72,-4.01,413.5,4.38,80402,1.5,1.66,-4,-24,13,9,-24
1998-6-22-0-25,1998,173,0,25,5.49,1.26,-4.55,-2.77,-4.0,-3.51,412.0,4.36,79531,1.48,1.45,-4,-24,14,9,-24
1998-6-22-0-26,1998,173,0,26,5.5,1.59,-4.62,-2.48,-4.12,-3.24,409.0,4.89,90602,1.64,1.33,-4,-24,14,8,-24
1998-6-22-0-27,1998,173,0,27,5.58,1.37,-4.68,-2.32,-4.21,-3.09,409.0,4.89,90602,1.64,1.26,-4,-24,14,8,-24
1998-6-22-0-28,1998,173,0,28,5.56,2.96,-4.38,-1.67,-4.03,-2.4,406.3,4.64,84550,1.53,0.98,-4,-24,14,7,-24
1998-6-22-0-29,1998,173,0,29,5.58,2.64,-4.57,-1.76,-4.2,-2.52,405.4,4.55,80369,1.5,1.02,-4,-24,15,7,-24
1998-6-22-0-30,1998,173,0,30,5.57,2.47,-4.63,-1.79,-4.26,-2.55,406.6,4.73,81375,1.56,1.04,-4,-24,15,7,-24
1998-6-22-0-31,1998,173,0,31,5.54,2.55,-4.32,-2.24,-3.88,-2.94,405.9,4.69,80714,1.55,1.19,-4,-24,15,7,-24
1998-6-22-0-32,1998,173,0,32,5.6,2.45,-4.5,-2.1,-4.08,-2.83,407.5,4.51,80810,1.5,1.15,-4,-24,15,7,-24
1998-6-22-0-33,1998,173,0,33,5.48,2.12,-5.01,-0.25,-4.9,-1.1,407.0,4.63,78187,1.53,0.45,-4,-24,16,7,-24
1998-6-22-0-34,1998,173,0,34,5.51,1.96,-5.1,-0.5,-4.94,-1.36,408.3,5.37,75856,1.79,0.56,-3,-23,17,7,-23
1998-6-22-0-35,1998,173,0,35,5.61,1.82,-5.24,-0.72,-5.04,-1.59,408.3,5.28,75614,1.76,0.65,-3,-23,18,9,-23
